UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,
5052,367236.948,2260505.684,883.042,Finn_INV-12_Z-02_B_S01,11/24/2025,
5053,367183.92,2260525.258,887.43,Finn_INV-12_Z-02_B_S01,11/24/2025,
5054,367130.802,2260525.291,889.144,Finn_INV-12_Z-02_B_S01,11/24/2025,
5062,366841.933,2260525.307,901.35,Finn_INV-12_Z-02_B_S01,11/24/2025,
5063,367157.306,2260525.275,887.799,Finn_INV-12_Z-02_B_S01,11/24/2025,
5064,366868.49,2260525.311,900.288,Finn_INV-12_Z-02_B_S01,11/24/2025,
5065,366921.533,2260525.297,897.911,Finn_INV-12_Z-02_B_S01,11/24/2025,
5066,366948.103,2260525.267,897.162,Finn_INV-12_Z-02_B_S01,11/24/2025,
5067,366974.718,2260525.237,896.328,Finn_INV-12_Z-02_B_S01,11/24/2025,
5068,367001.298,2260525.259,895.729,Finn_INV-12_Z-02_B_S01,11/24/2025,
5069,367027.866,2260525.265,894.798,Finn_INV-12_Z-02_B_S01,11/24/2025,
5071,367054.492,2260525.229,893.34,Finn_INV-12_Z-02_B_S01,11/24/2025,
5072,367104.213,2260525.302,890.702,Finn_INV-12_Z-02_B_S01,11/24/2025,
5073,366895.043,2260525.309,898.827,Finn_INV-12_Z-02_B_S01,11/24/2025,
5074,367263.45,2260505.769,880.83,Finn_INV-12_Z-02_B_S01,11/24/2025,
5075,367289.987,2260505.674,879.049,Finn_INV-12_Z-02_B_S01,11/24/2025,
5076,367316.562,2260505.607,877.229,Finn_INV-12_Z-02_B_S01,11/24/2025,
5484,366841.982,2260993.252,915.034,Finn_INV-12_Z-02_B_S01,11/24/2025,
5485,366868.545,2260993.265,914.901,Finn_INV-12_Z-02_B_S01,11/24/2025,
5486,366895.164,2260993.25,914.303,Finn_INV-12_Z-02_B_S01,11/24/2025,
5487,366921.721,2260993.237,913.622,Finn_INV-12_Z-02_B_S01,11/24/2025,
5488,366948.345,2260993.264,912.534,Finn_INV-12_Z-02_B_S01,11/24/2025,
5489,366974.84,2260993.29,910.836,Finn_INV-12_Z-02_B_S01,11/24/2025,
5491,367001.455,2260993.247,909.56,Finn_INV-12_Z-02_B_S01,11/24/2025,
5492,367054.487,2260993.264,906.935,Finn_INV-12_Z-02_B_S01,11/24/2025,
5493,367104.312,2260993.257,904.347,Finn_INV-12_Z-02_B_S01,11/24/2025,
5494,367130.791,2260993.308,903.005,Finn_INV-12_Z-02_B_S01,11/24/2025,
5495,367157.38,2260993.247,902.325,Finn_INV-12_Z-02_B_S01,11/24/2025,
5496,367184.016,2260993.276,901.762,Finn_INV-12_Z-02_B_S01,11/24/2025,
5497,367210.561,2260993.265,900.488,Finn_INV-12_Z-02_B_S01,11/24/2025,
5498,367237.188,2260993.229,899.529,Finn_INV-12_Z-02_B_S01,11/24/2025,
5499,367263.757,2260993.237,899,Finn_INV-12_Z-02_B_S01,11/24/2025,
5500,367027.974,2260993.251,908.276,Finn_INV-12_Z-02_B_S01,11/24/2025,
8458,366895.102,2261032.17,915.785,Finn_INV-12_Z-02_B_S01,11/24/2025,
8459,366921.674,2261032.128,915.342,Finn_INV-12_Z-02_B_S01,11/24/2025,
8460,366948.266,2261032.128,914.236,Finn_INV-12_Z-02_B_S01,11/24/2025,
8461,366974.832,2261032.136,912.984,Finn_INV-12_Z-02_B_S01,11/24/2025,
8462,367001.377,2261032.139,911.636,Finn_INV-12_Z-02_B_S01,11/24/2025,
8463,367027.894,2261032.161,910.195,Finn_INV-12_Z-02_B_S01,11/24/2025,
8464,367054.456,2261032.154,908.313,Finn_INV-12_Z-02_B_S01,11/24/2025,
8465,367104.174,2261032.131,906.063,Finn_INV-12_Z-02_B_S01,11/24/2025,
8466,367130.82,2261032.15,904.745,Finn_INV-12_Z-02_B_S01,11/24/2025,
8467,367157.347,2261032.144,903.99,Finn_INV-12_Z-02_B_S01,11/24/2025,
8468,367183.954,2261032.186,903.26,Finn_INV-12_Z-02_B_S01,11/24/2025,
8469,367210.508,2261032.142,902.158,Finn_INV-12_Z-02_B_S01,11/24/2025,
8470,367237.136,2261032.138,901.26,Finn_INV-12_Z-02_B_S01,11/24/2025,
8471,366868.463,2261032.255,915.896,Finn_INV-12_Z-02_B_S01,11/24/2025,
8632,367263.67,2261032.188,900.968,Finn_INV-12_Z-02_B_S01,11/24/2025,
9781,367054.485,2260915.251,903.689,Finn_INV-12_Z-02_B_S01,11/24/2025,
9782,367027.922,2260915.248,905.194,Finn_INV-12_Z-02_B_S01,11/24/2025,
9783,367001.418,2260915.225,906.961,Finn_INV-12_Z-02_B_S01,11/24/2025,
9784,366974.793,2260915.202,908.292,Finn_INV-12_Z-02_B_S01,11/24/2025,
9785,366948.253,2260915.203,909.643,Finn_INV-12_Z-02_B_S01,11/24/2025,
9786,366921.716,2260915.236,910.735,Finn_INV-12_Z-02_B_S01,11/24/2025,
9787,366895.12,2260915.229,911.78,Finn_INV-12_Z-02_B_S01,11/24/2025,
9788,366868.618,2260915.279,913.149,Finn_INV-12_Z-02_B_S01,11/24/2025,
9809,366868.541,2260934.77,913.374,Finn_INV-12_Z-02_B_S01,11/24/2025,
9810,366895.162,2260934.735,912.445,Finn_INV-12_Z-02_B_S01,11/24/2025,
9819,367153.007,2260954.306,900.782,Finn_INV-12_Z-02_B_S01,11/24/2025,
9820,367126.484,2260954.277,901.777,Finn_INV-12_Z-02_B_S01,11/24/2025,
9821,367104.34,2260954.234,902.75,Finn_INV-12_Z-02_B_S01,11/24/2025,
9822,367054.54,2260954.317,905.13,Finn_INV-12_Z-02_B_S01,11/24/2025,
9823,367027.903,2260954.261,906.524,Finn_INV-12_Z-02_B_S01,11/24/2025,
9825,367001.405,2260954.267,908.198,Finn_INV-12_Z-02_B_S01,11/24/2025,
9826,366948.268,2260954.21,911.157,Finn_INV-12_Z-02_B_S01,11/24/2025,
9827,366921.697,2260954.281,912.066,Finn_INV-12_Z-02_B_S01,11/24/2025,
9828,366895.164,2260954.278,913.152,Finn_INV-12_Z-02_B_S01,11/24/2025,
9829,366868.575,2260954.26,913.887,Finn_INV-12_Z-02_B_S01,11/24/2025,
9830,367153.051,2260934.744,900.116,Finn_INV-12_Z-02_B_S01,11/24/2025,
9831,367126.521,2260934.784,900.904,Finn_INV-12_Z-02_B_S01,11/24/2025,
9832,367104.228,2260934.739,902.126,Finn_INV-12_Z-02_B_S01,11/24/2025,
9833,367054.461,2260934.757,904.463,Finn_INV-12_Z-02_B_S01,11/24/2025,
9834,367027.929,2260934.774,905.885,Finn_INV-12_Z-02_B_S01,11/24/2025,
9835,367001.436,2260934.75,907.363,Finn_INV-12_Z-02_B_S01,11/24/2025,
9836,366974.862,2260934.741,908.726,Finn_INV-12_Z-02_B_S01,11/24/2025,
9837,366948.275,2260934.768,910.323,Finn_INV-12_Z-02_B_S01,11/24/2025,
9838,366921.625,2260934.732,911.359,Finn_INV-12_Z-02_B_S01,11/24/2025,
9839,366974.882,2260954.25,909.366,Finn_INV-12_Z-02_B_S01,11/24/2025,
19580,366868.451,2261129.743,918.071,Finn_INV-12_Z-02_B_S01,11/24/2025,
19581,366895.102,2261129.764,918.336,Finn_INV-12_Z-02_B_S01,11/24/2025,
19582,366921.566,2261129.716,918.643,Finn_INV-12_Z-02_B_S01,11/24/2025,
19583,366948.179,2261129.718,918.389,Finn_INV-12_Z-02_B_S01,11/24/2025,
19584,366974.852,2261129.773,917.475,Finn_INV-12_Z-02_B_S01,11/24/2025,
19585,367001.381,2261129.626,916.085,Finn_INV-12_Z-02_B_S01,11/24/2025,
19586,367027.928,2261129.653,914.978,Finn_INV-12_Z-02_B_S01,11/24/2025,
19587,367054.551,2261129.636,913.803,Finn_INV-12_Z-02_B_S01,11/24/2025,
19588,367104.299,2261129.654,911.449,Finn_INV-12_Z-02_B_S01,11/24/2025,
19589,367130.865,2261129.666,910.329,Finn_INV-12_Z-02_B_S01,11/24/2025,
19590,367157.378,2261129.666,909.626,Finn_INV-12_Z-02_B_S01,11/24/2025,
19591,367183.985,2261129.726,909.04,Finn_INV-12_Z-02_B_S01,11/24/2025,
19592,367210.713,2261129.721,908.099,Finn_INV-12_Z-02_B_S01,11/24/2025,
19593,367237.203,2261129.663,907.254,Finn_INV-12_Z-02_B_S01,11/24/2025,
19594,367263.805,2261129.718,906.65,Finn_INV-12_Z-02_B_S01,11/24/2025,
19596,366868.509,2261110.223,918.005,Finn_INV-12_Z-02_B_S01,11/24/2025,
19597,366895.211,2261110.171,918.208,Finn_INV-12_Z-02_B_S01,11/24/2025,
19598,366921.654,2261110.166,918.109,Finn_INV-12_Z-02_B_S01,11/24/2025,
19599,366948.231,2261110.193,917.77,Finn_INV-12_Z-02_B_S01,11/24/2025,
19600,366974.862,2261110.209,917.04,Finn_INV-12_Z-02_B_S01,11/24/2025,
19601,367001.38,2261110.15,915.714,Finn_INV-12_Z-02_B_S01,11/24/2025,
19619,367027.887,2261110.177,914.031,Finn_INV-12_Z-02_B_S01,11/24/2025,
19635,367054.473,2261110.154,912.548,Finn_INV-12_Z-02_B_S01,11/24/2025,
19636,367104.231,2261110.17,910.336,Finn_INV-12_Z-02_B_S01,11/24/2025,
19637,367130.847,2261110.171,908.992,Finn_INV-12_Z-02_B_S01,11/24/2025,
19638,367157.453,2261071.19,905.986,Finn_INV-12_Z-02_B_S01,11/24/2025,
19639,367184.032,2261071.2,905.17,Finn_INV-12_Z-02_B_S01,11/24/2025,
19640,367210.642,2261071.187,904.336,Finn_INV-12_Z-02_B_S01,11/24/2025,
19641,367237.19,2261071.184,903.409,Finn_INV-12_Z-02_B_S01,11/24/2025,
19642,367263.77,2261071.175,902.915,Finn_INV-12_Z-02_B_S01,11/24/2025,
19644,366868.561,2261051.715,916.558,Finn_INV-12_Z-02_B_S01,11/24/2025,
19645,366895.147,2261051.709,916.451,Finn_INV-12_Z-02_B_S01,11/24/2025,
19646,366921.728,2261051.746,915.882,Finn_INV-12_Z-02_B_S01,11/24/2025,
19647,366948.29,2261051.735,915.321,Finn_INV-12_Z-02_B_S01,11/24/2025,
19648,366974.852,2261051.739,914.181,Finn_INV-12_Z-02_B_S01,11/24/2025,
19649,367001.427,2261051.72,912.93,Finn_INV-12_Z-02_B_S01,11/24/2025,
19650,367027.959,2261051.756,911.197,Finn_INV-12_Z-02_B_S01,11/24/2025,
19651,367130.808,2261071.262,906.64,Finn_INV-12_Z-02_B_S01,11/24/2025,
19652,367054.494,2261051.66,909.333,Finn_INV-12_Z-02_B_S01,11/24/2025,
19653,367130.782,2261051.643,905.596,Finn_INV-12_Z-02_B_S01,11/24/2025,
19654,367157.334,2261051.614,904.819,Finn_INV-12_Z-02_B_S01,11/24/2025,
19655,367183.86,2261051.649,904.137,Finn_INV-12_Z-02_B_S01,11/24/2025,
19656,367210.519,2261051.633,903.167,Finn_INV-12_Z-02_B_S01,11/24/2025,
19657,367237.151,2261051.62,902.506,Finn_INV-12_Z-02_B_S01,11/24/2025,
19658,367263.676,2261051.659,901.879,Finn_INV-12_Z-02_B_S01,11/24/2025,
19666,367104.155,2261051.601,906.775,Finn_INV-12_Z-02_B_S01,11/24/2025,
19668,367104.424,2261071.18,907.814,Finn_INV-12_Z-02_B_S01,11/24/2025,
19669,367027.961,2261071.216,912.089,Finn_INV-12_Z-02_B_S01,11/24/2025,
19670,367157.478,2261110.208,908.375,Finn_INV-12_Z-02_B_S01,11/24/2025,
19671,367184.039,2261110.152,907.755,Finn_INV-12_Z-02_B_S01,11/24/2025,
19672,367210.547,2261110.2,906.561,Finn_INV-12_Z-02_B_S01,11/24/2025,
19673,367237.165,2261110.183,905.91,Finn_INV-12_Z-02_B_S01,11/24/2025,
19674,367263.785,2261110.242,905.298,Finn_INV-12_Z-02_B_S01,11/24/2025,
