UPN,N_Y,E_X,Elv_Z,Source
8635,367157.513,2261714.69,914.174,BS_INV-14_B_S01
8636,367184.053,2261714.754,914.015,BS_INV-14_B_S01
8637,367210.606,2261714.763,913.284,BS_INV-14_B_S01
8638,367237.185,2261714.729,911.892,BS_INV-14_B_S01
8639,367263.797,2261714.688,911.024,BS_INV-14_B_S01
8640,366868.074,2261734.48,906.199,BS_INV-14_B_S01
8641,366894.976,2261734.32,906.944,BS_INV-14_B_S01
8642,366921.55,2261734.304,907.971,BS_INV-14_B_S01
8643,366948.124,2261734.323,908.555,BS_INV-14_B_S01
8644,366974.759,2261734.277,909.333,BS_INV-14_B_S01
8645,367001.264,2261734.305,910.239,BS_INV-14_B_S01
8646,367027.852,2261734.343,910.983,BS_INV-14_B_S01
8647,367054.438,2261734.342,911.69,BS_INV-14_B_S01
8648,367104.31,2261734.303,912.744,BS_INV-14_B_S01
8649,367130.808,2261734.327,913.13,BS_INV-14_B_S01
8650,367157.461,2261734.332,913.557,BS_INV-14_B_S01
8651,367184.072,2261734.327,913.177,BS_INV-14_B_S01
8652,367210.636,2261734.37,912.415,BS_INV-14_B_S01
8653,367237.191,2261734.34,911.607,BS_INV-14_B_S01
8654,367263.726,2261734.32,911.12,BS_INV-14_B_S01
8655,366868.544,2261753.885,906.074,BS_INV-14_B_S01
8656,366894.907,2261753.832,906.986,BS_INV-14_B_S01
8657,366921.61,2261753.834,907.768,BS_INV-14_B_S01
8658,366948.144,2261753.747,908.535,BS_INV-14_B_S01
8659,366974.742,2261753.795,909.432,BS_INV-14_B_S01
8660,367001.342,2261753.791,909.898,BS_INV-14_B_S01
8661,367027.939,2261753.764,910.618,BS_INV-14_B_S01
8662,367130.854,2261714.723,913.758,BS_INV-14_B_S01
8663,367104.224,2261714.719,913.299,BS_INV-14_B_S01
8664,367054.49,2261714.716,911.904,BS_INV-14_B_S01
8665,367027.934,2261714.708,911.097,BS_INV-14_B_S01
8679,367054.49,2261753.777,911.176,BS_INV-14_B_S01
8688,366868.458,2261714.752,905.776,BS_INV-14_B_S01
8689,366894.953,2261714.71,906.738,BS_INV-14_B_S01
8690,366921.541,2261714.728,907.319,BS_INV-14_B_S01
8691,366948.202,2261714.688,908.406,BS_INV-14_B_S01
8692,366974.797,2261714.756,909.141,BS_INV-14_B_S01
8693,367000.941,2261714.636,909.818,BS_INV-14_B_S01
8695,367104.311,2261753.764,912.263,BS_INV-14_B_S01
8696,367130.868,2261753.728,912.498,BS_INV-14_B_S01
8697,367157.489,2261753.811,912.898,BS_INV-14_B_S01
8698,367237.242,2261792.731,911.522,BS_INV-14_B_S01
8699,367263.961,2261792.75,911.014,BS_INV-14_B_S01
8711,367210.707,2261792.715,912.023,BS_INV-14_B_S01
8728,367184.175,2261792.771,912.787,BS_INV-14_B_S01
8729,367130.928,2261792.703,912.502,BS_INV-14_B_S01
8730,367184.045,2261753.766,912.9,BS_INV-14_B_S01
8731,367210.608,2261753.764,912.474,BS_INV-14_B_S01
8732,367237.264,2261753.792,911.435,BS_INV-14_B_S01
8733,367263.859,2261753.774,910.497,BS_INV-14_B_S01
8734,366868.377,2261773.439,906.218,BS_INV-14_B_S01
8735,366894.943,2261773.394,907.626,BS_INV-14_B_S01
8736,366921.578,2261773.295,908.18,BS_INV-14_B_S01
8737,366948.157,2261773.302,909.005,BS_INV-14_B_S01
8738,366974.751,2261773.258,909.413,BS_INV-14_B_S01
8739,367001.303,2261773.295,909.854,BS_INV-14_B_S01
8740,367027.921,2261773.339,910.776,BS_INV-14_B_S01
8741,367054.413,2261773.26,911.073,BS_INV-14_B_S01
8742,367104.246,2261773.286,911.984,BS_INV-14_B_S01
8743,367157.493,2261792.697,912.744,BS_INV-14_B_S01
8744,367130.913,2261773.28,912.392,BS_INV-14_B_S01
8745,367183.906,2261773.298,912.25,BS_INV-14_B_S01
8746,367210.679,2261773.248,912.178,BS_INV-14_B_S01
8747,367237.243,2261773.286,910.986,BS_INV-14_B_S01
8748,367263.785,2261773.344,910.734,BS_INV-14_B_S01
8749,366868.432,2261792.796,906.654,BS_INV-14_B_S01
8750,366894.896,2261792.742,907.43,BS_INV-14_B_S01
8751,366921.54,2261792.815,908.175,BS_INV-14_B_S01
8752,366948.138,2261792.862,908.543,BS_INV-14_B_S01
8753,366974.76,2261792.764,909.413,BS_INV-14_B_S01
8754,367001.349,2261792.724,909.784,BS_INV-14_B_S01
8755,367027.93,2261792.746,910.564,BS_INV-14_B_S01
8756,367054.502,2261792.704,911.289,BS_INV-14_B_S01
8757,367104.331,2261792.7,912.176,BS_INV-14_B_S01
8758,367157.479,2261773.274,912.958,BS_INV-14_B_S01
13724,367104.296,2262007.299,911.021,BS_INV-14_B_S01
13725,367130.786,2262007.285,912.502,BS_INV-14_B_S01
13726,367157.344,2262007.264,913.681,BS_INV-14_B_S01
13727,367184.175,2262007.342,915.171,BS_INV-14_B_S01
13728,367210.56,2262007.332,915.721,BS_INV-14_B_S01
13729,367236.97,2262007.334,915.546,BS_INV-14_B_S01
13730,367263.877,2262007.273,915.858,BS_INV-14_B_S01
13731,367290.384,2262007.257,915.77,BS_INV-14_B_S01
13751,367054.45,2262007.328,909.019,BS_INV-14_B_S01
13752,367028.009,2262007.29,908.824,BS_INV-14_B_S01
13753,367001.396,2262007.305,907.731,BS_INV-14_B_S01
13754,366974.805,2262007.315,907.345,BS_INV-14_B_S01
13765,366894.995,2262026.808,904.614,BS_INV-14_B_S01
13766,366921.554,2262026.782,905.674,BS_INV-14_B_S01
13767,366948.253,2262026.773,906.208,BS_INV-14_B_S01
13769,366974.723,2262026.769,906.959,BS_INV-14_B_S01
13770,367027.903,2262026.718,908.331,BS_INV-14_B_S01
13771,367054.453,2262026.745,908.906,BS_INV-14_B_S01
13772,367104.38,2262026.808,910.443,BS_INV-14_B_S01
13773,367130.779,2262026.82,911.401,BS_INV-14_B_S01
13774,367157.294,2262026.775,912.559,BS_INV-14_B_S01
13775,367184.079,2262026.819,913.684,BS_INV-14_B_S01
13776,367210.684,2262026.755,914.121,BS_INV-14_B_S01
13777,367237.123,2262026.817,914.334,BS_INV-14_B_S01
13778,367263.736,2262026.808,914.578,BS_INV-14_B_S01
13779,367290.443,2262026.851,914.817,BS_INV-14_B_S01
13780,366894.938,2262007.323,905.317,BS_INV-14_B_S01
13781,366921.603,2262007.35,905.937,BS_INV-14_B_S01
13782,366948.161,2262007.282,906.728,BS_INV-14_B_S01
13783,367001.371,2262026.761,907.35,BS_INV-14_B_S01
17882,366868.416,2261870.778,906.396,BS_INV-14_B_S01
17883,366895.011,2261870.822,907.208,BS_INV-14_B_S01
17884,366921.68,2261870.774,907.845,BS_INV-14_B_S01
17885,366948.067,2261870.787,908.912,BS_INV-14_B_S01
17919,366974.745,2261870.76,909.558,BS_INV-14_B_S01
18046,367001.331,2261870.74,910.842,BS_INV-14_B_S01
18047,367027.825,2261870.811,911.485,BS_INV-14_B_S01
18048,367054.376,2261870.755,911.377,BS_INV-14_B_S01
18208,367104.267,2261870.806,912.126,BS_INV-14_B_S01
18209,367130.872,2261870.816,912.572,BS_INV-14_B_S01
18210,367157.45,2261870.839,912.859,BS_INV-14_B_S01
18211,367184.028,2261870.819,913.535,BS_INV-14_B_S01
18212,367210.694,2261870.828,913.087,BS_INV-14_B_S01
18213,367237.237,2261870.801,912.901,BS_INV-14_B_S01
19411,366868.487,2261617.301,906.071,BS_INV-14_B_S01
19445,366894.986,2261617.27,907.368,BS_INV-14_B_S01
19572,366921.618,2261617.267,908.048,BS_INV-14_B_S01
19573,366948.157,2261617.304,909.731,BS_INV-14_B_S01
19574,366974.74,2261617.255,911.293,BS_INV-14_B_S01
19713,366868.48,2261597.696,906.211,BS_INV-14_B_S01
19714,366894.966,2261597.697,907.288,BS_INV-14_B_S01
19716,366921.561,2261597.731,908.739,BS_INV-14_B_S01
19717,366974.709,2261597.702,911.935,BS_INV-14_B_S01
19718,367001.299,2261597.748,912.826,BS_INV-14_B_S01
19719,367027.775,2261597.752,913.581,BS_INV-14_B_S01
19720,367054.412,2261597.738,914.241,BS_INV-14_B_S01
19721,367104.212,2261597.708,913.948,BS_INV-14_B_S01
19722,367130.808,2261597.678,913.59,BS_INV-14_B_S01
19723,367157.498,2261597.684,915.217,BS_INV-14_B_S01
19724,367183.921,2261597.636,915.305,BS_INV-14_B_S01
19725,367210.515,2261597.698,915.127,BS_INV-14_B_S01
19726,367237.051,2261597.664,914.403,BS_INV-14_B_S01
19727,367263.782,2261597.629,913.797,BS_INV-14_B_S01
19728,367290.306,2261597.712,912.455,BS_INV-14_B_S01
19730,366948.107,2261597.782,910.125,BS_INV-14_B_S01
19734,367001.31,2261617.304,912.124,BS_INV-14_B_S01
19735,367027.848,2261617.271,913.581,BS_INV-14_B_S01
19736,367054.384,2261617.242,913.988,BS_INV-14_B_S01
19737,367104.201,2261617.232,913.811,BS_INV-14_B_S01
19738,367130.85,2261617.247,914.087,BS_INV-14_B_S01
19739,367157.403,2261617.201,915.418,BS_INV-14_B_S01
19740,367184.004,2261617.238,915.516,BS_INV-14_B_S01
19741,367210.572,2261617.21,915.101,BS_INV-14_B_S01
19742,367237.143,2261617.243,914.43,BS_INV-14_B_S01
19743,367263.797,2261617.235,913.575,BS_INV-14_B_S01
19744,367290.309,2261617.248,911.56,BS_INV-14_B_S01
20084,367054.573,2261968.291,910.703,BS_INV-14_B_S01
20085,367104.328,2261968.278,912.101,BS_INV-14_B_S01
20086,367130.852,2261968.268,913.255,BS_INV-14_B_S01
20087,367157.517,2261968.251,915.13,BS_INV-14_B_S01
20088,367184.047,2261968.195,916.103,BS_INV-14_B_S01
20089,367210.617,2261968.259,916.698,BS_INV-14_B_S01
20090,367236.89,2261968.099,915.996,BS_INV-14_B_S01
20091,367263.71,2261968.2,916.409,BS_INV-14_B_S01
20092,367290.363,2261968.274,916.685,BS_INV-14_B_S01
20093,366895.015,2261987.741,906.019,BS_INV-14_B_S01
20094,366921.592,2261987.749,906.335,BS_INV-14_B_S01
20095,366948.205,2261987.778,906.677,BS_INV-14_B_S01
20096,366974.774,2261987.793,907.747,BS_INV-14_B_S01
20097,367001.296,2261987.781,908.049,BS_INV-14_B_S01
20098,367027.973,2261987.771,909.146,BS_INV-14_B_S01
20099,367054.576,2261987.691,909.972,BS_INV-14_B_S01
20100,367104.401,2261987.763,911.823,BS_INV-14_B_S01
20101,367130.781,2261987.757,912.908,BS_INV-14_B_S01
20102,367157.454,2261987.783,914.799,BS_INV-14_B_S01
20103,367184.265,2261987.787,916.144,BS_INV-14_B_S01
20104,367210.574,2261987.704,916.635,BS_INV-14_B_S01
20105,367237.126,2261987.783,916.058,BS_INV-14_B_S01
20106,367263.726,2261987.69,916.75,BS_INV-14_B_S01
20107,367290.318,2261987.748,917.011,BS_INV-14_B_S01
20108,366894.981,2261909.663,906.833,BS_INV-14_B_S01
20109,366921.636,2261909.723,907.378,BS_INV-14_B_S01
20110,366948.15,2261909.702,908.516,BS_INV-14_B_S01
20111,367027.987,2261968.247,909.593,BS_INV-14_B_S01
20112,367001.325,2261968.393,908.896,BS_INV-14_B_S01
20113,366974.576,2261968.229,908.259,BS_INV-14_B_S01
20114,366948.191,2261968.233,907.866,BS_INV-14_B_S01
20115,367001.285,2261929.161,910.407,BS_INV-14_B_S01
20116,367027.921,2261929.214,910.822,BS_INV-14_B_S01
20117,367054.635,2261929.328,911.412,BS_INV-14_B_S01
20118,367104.322,2261929.296,912.288,BS_INV-14_B_S01
20119,367130.811,2261929.211,913.335,BS_INV-14_B_S01
20120,367157.452,2261929.251,913.726,BS_INV-14_B_S01
20121,367184.008,2261929.235,914.616,BS_INV-14_B_S01
20122,367210.337,2261929.163,914.171,BS_INV-14_B_S01
20123,367237.167,2261929.118,914.189,BS_INV-14_B_S01
20124,367263.894,2261929.212,914.288,BS_INV-14_B_S01
20125,367290.384,2261929.229,914.741,BS_INV-14_B_S01
20126,366894.989,2261948.715,906.358,BS_INV-14_B_S01
20127,366921.649,2261948.76,907.08,BS_INV-14_B_S01
20128,366974.795,2261909.696,910.002,BS_INV-14_B_S01
20129,366948.157,2261948.758,907.458,BS_INV-14_B_S01
20130,367001.439,2261948.727,909.525,BS_INV-14_B_S01
20131,367027.908,2261948.696,910.142,BS_INV-14_B_S01
