UPN,N_Y,E_X,Elv_Z,Source
2,368206.282,2261675.724,901.904,BS_INV-14_B_S01
5,368286.042,2261675.789,902.495,BS_INV-14_B_S01
12,368335.023,2261831.729,904.232,BS_INV-14_B_S01
20,368312.849,2261831.711,903.93,BS_INV-14_B_S01
27,368179.693,2261656.217,900.82,BS_INV-14_B_S01
28,368206.157,2261656.119,901.737,BS_INV-14_B_S01
44,368241.735,2261812.273,902.508,BS_INV-14_B_S01
45,368263.974,2261812.293,902.959,BS_INV-14_B_S01
68,368286.144,2261812.313,903.989,BS_INV-14_B_S01
69,368312.906,2261812.357,904.492,BS_INV-14_B_S01
70,368335.104,2261812.343,904.329,BS_INV-14_B_S01
5753,368360.038,2261812.214,903.965,BS_INV-14_B_S01
6599,368334.991,2261948.798,901.129,BS_INV-14_B_S01
6600,368385.091,2261948.801,901.274,BS_INV-14_B_S01
6601,368411.409,2261948.786,901.299,BS_INV-14_B_S01
6602,368437.97,2261948.962,901.342,BS_INV-14_B_S01
6603,368464.569,2261948.839,902.115,BS_INV-14_B_S01
6604,368491.27,2261948.782,902.444,BS_INV-14_B_S01
6605,368517.734,2261948.785,902.347,BS_INV-14_B_S01
6606,368544.348,2261948.799,903.259,BS_INV-14_B_S01
6607,368263.858,2261968.276,901.885,BS_INV-14_B_S01
6608,368286.07,2261968.37,901.608,BS_INV-14_B_S01
6609,368312.712,2261968.315,901.51,BS_INV-14_B_S01
6610,368334.931,2261968.402,901.396,BS_INV-14_B_S01
6611,368384.736,2261968.327,901.369,BS_INV-14_B_S01
6612,368411.418,2261968.318,901.615,BS_INV-14_B_S01
6613,368437.953,2261968.328,901.566,BS_INV-14_B_S01
6614,368464.489,2261968.354,902.769,BS_INV-14_B_S01
6615,368491.15,2261968.325,903.178,BS_INV-14_B_S01
6616,368517.631,2261968.266,903.108,BS_INV-14_B_S01
6617,368544.309,2261968.321,903.231,BS_INV-14_B_S01
6618,368263.775,2261987.785,901.98,BS_INV-14_B_S01
6619,368286.115,2261987.81,902.003,BS_INV-14_B_S01
6620,368312.672,2261987.778,901.869,BS_INV-14_B_S01
6621,368334.893,2261987.777,901.686,BS_INV-14_B_S01
6622,368384.832,2261987.799,901.74,BS_INV-14_B_S01
6623,368411.298,2261987.855,901.807,BS_INV-14_B_S01
6624,368437.971,2261987.74,902.686,BS_INV-14_B_S01
6625,368464.443,2261987.713,902.996,BS_INV-14_B_S01
6626,368312.766,2261948.79,901.218,BS_INV-14_B_S01
6627,368286.21,2261948.798,901.733,BS_INV-14_B_S01
6628,368263.897,2261948.854,901.885,BS_INV-14_B_S01
6629,368544.328,2261929.308,902.303,BS_INV-14_B_S01
6630,368411.413,2261890.4,899.846,BS_INV-14_B_S01
6632,368438.058,2261890.334,900.135,BS_INV-14_B_S01
6633,368464.552,2261890.301,900.433,BS_INV-14_B_S01
6634,368491.231,2261890.338,899.948,BS_INV-14_B_S01
