UPN,Detected,Pile_Height,Top_X,Top_Y,Top_Z,Bot_X,Bot_Y,Bot_Z,Lean_East_Deg,Lean_North_Deg,Tracker_Slope_Pct,Elv_Dz_Deg,Abs_Elv_Dz,Bot_X_1ft,Bot_Y_1ft,Bot_Z_1ft
2403.0,True,4.258903310000051,2263274.819296,365927.14087400003,906.24310331,2263274.8271244997,365927.132366,901.9842,-0.10531807190633913,0.11445947734090112,0.2606440200520518,0.0,0.0,2263274.8271244997,365927.132366,901.9842
16735.0,True,4.15215139999998,2263021.3192809997,365428.786777,904.7857814,2263021.323154,365428.749182,900.63363,-0.05344374289344955,0.5187614233887246,0.29723920762711575,0.0,0.0,2263021.323154,365428.749182,900.63363
46167.0,True,4.956665840000028,2263664.73037,365559.9693825,902.83396584,2263664.763512,365560.00306200003,897.8773,-0.38309389554586915,-0.3893067587183907,-0.791490924890181,0.0,0.0,2263664.763512,365560.00306200003,897.8773
44824.0,True,4.521102919999976,2262884.696002,366322.827904,911.46958792,2262884.6878670002,366322.77087599994,906.948485,0.10309445700634967,0.7226755287246647,0.6642100914317954,0.0,0.0,2262884.6878670002,366322.77087599994,906.948485
28599.0,True,4.296316000000047,2262884.6917975,366296.24175,911.293,2262884.721712,366296.197888,906.996684,-0.39893408903593297,0.584924426859402,1.1140514058115232,0.0,0.0,2262884.721712,366296.197888,906.996684
28598.0,True,4.364900000000034,2262884.749426,366269.573384,910.9959,2262884.7494200002,366269.538632,906.631,7.875337678342476e-05,0.4561618501511049,1.5971763322433365,0.0,0.0,2262884.7494200002,366269.538632,906.631
28597.0,True,4.413037379999992,2262884.692814,366242.89194299997,910.56974938,2262884.685562,366242.897853,906.156712,0.0941547900337838,-0.07673124556558264,1.153344184852808,0.0,0.0,2262884.685562,366242.897853,906.156712
28596.0,True,4.335693400000082,2262884.6768119996,366216.36665,910.2638214,2262884.674991,366216.33031600004,905.9281279999999,0.024064337452500695,0.4801391442237275,0.7517882474443996,0.0,0.0,2262884.674991,366216.33031600004,905.9281279999999
28595.0,True,4.223998259999917,2262884.7355,366189.67207800003,910.06313426,2262884.741417,366189.707681,905.839136,-0.08026019225430048,-0.4829200215623928,1.5382515089863387,0.0,0.0,2262884.741417,366189.707681,905.839136
28594.0,True,4.178902919999928,2262884.728572,366163.15708200005,909.6552669199999,2262884.7322135,366163.171221,905.476364,-0.049927586300327675,-0.19385516953005322,0.7436043439660402,0.0,0.0,2262884.7322135,366163.171221,905.476364
28593.0,True,4.280844960000081,2262884.7930155,366136.630021,909.45800996,2262884.780497,366136.60971999995,905.177165,0.16754990585334895,0.27171105556004704,0.8584502171660631,0.0,0.0,2262884.780497,366136.60971999995,905.177165
28592.0,True,4.332037000000014,2262884.7490645,366110.08105599997,909.2301,2262884.718006,366109.9948455,904.898063,0.41077453448254175,1.1400747220422147,0.05410080567579018,0.0,0.0,2262884.718006,366109.9948455,904.898063
47817.0,True,4.464163519999943,2262884.72751,366085.11566999997,909.21659352,2262884.7218035003,366085.078753,904.75243,0.0732406361399569,0.47380434554952444,1.3644463266248221,0.0,0.0,2262884.7218035003,366085.078753,904.75243
28591.0,True,4.442232259999969,2262884.695535,366060.27563249995,908.87766426,2262884.6881379997,366060.199372,904.435432,0.09540620046449533,0.9835090497449528,0.33114954455405676,0.0,0.0,2262884.6881379997,366060.199372,904.435432
28604.0,True,4.437819679999961,2262884.69595,366033.5926485,908.78930368,2262884.743292,366033.598202,904.351484,-0.6111996663122881,-0.07170006219176628,-0.12172219318150165,0.0,0.0,2262884.743292,366033.598202,904.351484
28590.0,True,4.165751320000027,2262884.70329,366006.912519,908.82177932,2262884.75225,366006.88448,904.656028,-0.6733652554165275,0.3856428236381362,0.12117137945549511,0.0,0.0,2262884.75225,366006.88448,904.656028
28588.0,True,4.294683330000112,2262884.729107,365980.449195,908.78971333,2262884.724754,365980.432074,904.4950299999999,0.05807376589051216,0.22841168208066165,0.47269685650831894,0.0,0.0,2262884.724754,365980.432074,904.4950299999999
28587.0,True,4.364164080000023,2262884.743849,365953.852608,908.66399208,2262884.7402125,365953.81972499995,904.2998279999999,0.04774248688364935,0.4317027114585983,1.4623141887159021,0.0,0.0,2262884.7402125,365953.81972499995,904.2998279999999
28586.0,True,4.5341878699999825,2262884.6912875,365927.197635,908.27421187,2262884.6910955003,365927.210935,903.7400240000001,0.0024261823768796376,-0.1680635437613347,1.7568206803289017,0.0,0.0,2262884.6910955003,365927.210935,903.7400240000001
28585.0,True,4.2944060999999465,2262884.767828,365900.7075195,907.8088260999999,2262884.7940919995,365900.691188,903.51442,-0.3504087742058317,0.21789311220985041,3.69430529292005,0.0,0.0,2262884.7940919995,365900.691188,903.51442
28584.0,True,4.3655615000000125,2262884.7998,365874.132702,906.8270705,2262884.7865204997,365874.1037875,902.461509,0.17428616713459633,0.37948259127371387,3.4807052588542415,0.0,0.0,2262884.7865204997,365874.1037875,902.461509
44844.0,True,4.043659049999974,2262884.78645,365847.456748,905.89855905,2262884.772175,365847.59192499996,901.8549,0.20226578027205733,-1.914649163819064,-1.361762440272815,0.0,0.0,2262884.772175,365847.59192499996,901.8549
44845.0,True,4.342984460000025,2262904.185316,366322.746895,912.37627046,2262904.1991625,366322.726425,908.033286,-0.18267238149157095,0.2700529858498868,1.4851460888934696,0.0,0.0,2262904.1991625,366322.726425,908.033286
28583.0,True,4.351199119999933,2262904.319282,366296.193324,911.98190612,2262904.284807,366296.172972,907.630707,0.45395088092548974,0.2679893910138844,1.9794796143925586,0.0,0.0,2262904.284807,366296.172972,907.630707
28582.0,True,4.249929800000018,2262904.259506,366269.61073200003,911.4557078,2262904.2583635002,366269.557773,907.205778,0.01540270728867199,0.7139341802426742,1.6496085082518288,0.0,0.0,2262904.2583635002,366269.557773,907.205778
28581.0,True,4.301006239999992,2262904.239125,366242.97820499993,911.01637524,2262904.227806,366242.92023449996,906.715369,0.15078551016260633,0.772206243964348,1.3126466453980603,0.0,0.0,2262904.227806,366242.92023449996,906.715369
28580.0,True,4.277688239999975,2262904.2309075,366216.38308249996,910.66727524,2262904.2434859998,366216.366262,906.389587,-0.16847718750226193,0.2252942795682742,1.2166418787622895,0.0,0.0,2262904.2434859998,366216.366262,906.389587
28579.0,True,3.9899233999999524,2262904.2957274998,366189.616711,910.3416234,2262904.2823365,366189.7276015,906.3517,0.19229564370606056,-1.591991089905676,1.6223362791599032,0.0,0.0,2262904.2823365,366189.7276015,906.3517
28578.0,True,4.4722684799999115,2262904.2014635,366163.263347,909.9140804799999,2262904.195336,366163.188332,905.441812,0.07850147401410368,0.9609530172747753,0.5305189547661942,0.0,0.0,2262904.195336,366163.188332,905.441812
28577.0,True,4.129466560000083,2262904.203106,366136.487693,909.7720305600001,2262904.2304195,366136.513846,905.642564,-0.3789655185455558,-0.36286442004279706,0.812419513600128,0.0,0.0,2262904.2304195,366136.513846,905.642564
28576.0,True,4.070336079999947,2262904.234874,366109.93659199995,909.55632408,2262904.2338825,366109.919465,905.485988,0.0139567746151954,0.2410855033501491,0.3157660133146597,0.0,0.0,2262904.2338825,366109.919465,905.485988
47802.0,True,4.320905720000042,2262904.218823,366085.13964099996,909.47802372,2262904.221008,366085.125108,905.157118,-0.028973387014360696,0.19270876869155984,1.0443346629155223,0.0,0.0,2262904.221008,366085.125108,905.157118
28543.0,True,4.373931999999968,2262904.2606344996,366060.1932935,909.2175,2262904.2617234997,366060.1734885,904.843568,-0.014265221955923835,0.2594313669531658,0.11856584651497758,0.0,0.0,2262904.2617234997,366060.1734885,904.843568
28542.0,True,4.401964000000021,2262904.2438615,366033.625783,909.186,2262904.24148,366033.59554999997,904.784036,0.03099750567437809,0.3935052784255362,0.43476223835734185,0.0,0.0,2262904.24148,366033.59554999997,904.784036
28541.0,True,4.06603591999999,2262904.223762,366006.921061,909.06989792,2262904.217254,366006.92208199995,905.003862,0.09170618094906047,-0.014387228580204692,-0.18158147065237495,0.0,0.0,2262904.217254,366006.92208199995,905.003862
28525.0,True,4.130748639999979,2262904.276748,365980.44004200003,909.11798264,2262904.2620169995,365980.44080700004,904.9872340000001,0.20432630025302956,-0.010610975126780886,0.3441399221360425,0.0,0.0,2262904.2620169995,365980.44080700004,904.9872340000001
28507.0,True,4.287057240000081,2262904.26715,365953.72405,909.02604224,2262904.289555,365953.76820550003,904.738985,-0.2994362280146987,-0.5901097642180417,1.6601426937084596,0.0,0.0,2262904.289555,365953.76820550003,904.738985
28506.0,True,4.05871467999998,2262904.201513,365927.251313,908.58655568,2262904.2372465003,365927.244965,904.527841,-0.5044271475250923,0.08961292884958993,2.666232704083546,0.0,0.0,2262904.2372465003,365927.244965,904.527841
