UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,Detected,Pile_Height,Top_X,Top_Y,Top_Z,Bot_X,Bot_Y,Bot_Z,Lean_East_Deg,Lean_North_Deg,Tracker_Slope_Pct,Elv_Dz_Deg,Abs_Elv_Dz,Bot_X_1ft,Bot_Y_1ft,Bot_Z_1ft
1318,366741.456,2263723.29,914.633,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1319,366768.146,2263723.19,915.674,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1320,366794.66,2263723.26,916.55,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1321,366821.189,2263723.264,917.703,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1322,366585.381,2263723.155,912.328,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1323,366794.63,2262787.289,893.554,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1324,366768.02,2262787.337,893.402,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1325,366741.507,2262787.312,894.462,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1326,366714.768,2262806.793,896.099,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1327,366741.395,2262806.844,893.884,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1328,366767.898,2262806.846,892.674,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1329,366794.552,2262806.75,892.006,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1330,366821.089,2262806.848,891.3,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1331,366847.736,2262806.777,891.602,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1333,366399.229,2262787.321,905.777,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1334,366425.702,2262787.424,904.18,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1335,366452.377,2262787.2,903.908,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1336,366478.979,2262787.234,904.133,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1337,366505.57,2262787.281,904.339,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1338,366532.165,2262787.306,902.813,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1339,366558.741,2262787.248,901.343,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1340,366585.132,2262787.396,899.878,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1341,366635.12,2262787.299,898.613,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1342,366661.615,2262787.402,898.724,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1343,366688.238,2262787.293,897.23,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1344,366714.768,2262787.183,895.333,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
1345,366661.732,2262806.801,899.766,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2334,366372.87,2263333.294,912.607,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2335,366399.341,2263333.246,914.23,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2336,366425.861,2263333.274,916.443,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2427,366585.419,2263352.773,919.709,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2428,366635.113,2263352.756,920.277,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2429,366661.631,2263352.749,919.888,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2430,366688.508,2263352.761,918.646,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2431,366714.955,2263352.796,918.002,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2432,366741.555,2263352.793,917.246,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2433,366767.977,2263352.762,916.589,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2434,366794.657,2263352.765,916.932,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2435,366558.722,2263352.735,919.91,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2436,366821.328,2263352.733,917.35,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2437,366372.802,2263450.284,909.022,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2438,366399.337,2263450.295,910.15,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2439,366425.899,2263450.308,911.048,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2440,366452.51,2263450.269,912.003,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2441,366479.041,2263450.332,913.417,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2442,366505.597,2263450.297,914.803,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2443,366532.194,2263450.269,915.936,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2444,366558.73,2263450.348,916.593,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2445,366847.904,2263352.747,918.242,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2446,366532.197,2263352.747,920.02,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2447,366505.597,2263352.765,919.07,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2448,366478.963,2263352.756,917.887,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2449,366452.447,2263333.237,918.042,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2450,366479.053,2263333.221,919.113,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2451,366505.59,2263333.228,919.885,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2452,366532.147,2263333.289,920.377,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2453,366558.766,2263333.313,920.231,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2454,366585.179,2263333.2,920.204,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2455,366635.231,2263333.207,919.691,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2456,366661.799,2263333.235,919.274,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2457,366688.316,2263333.248,918.57,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2458,366714.922,2263333.224,917.926,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2459,366741.515,2263333.279,917.079,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2460,366768.009,2263333.277,915.928,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2461,366794.639,2263333.267,916.361,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2462,366821.358,2263333.2,916.893,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2463,366847.953,2263333.21,917.582,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2464,366372.855,2263352.793,911.823,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2465,366399.352,2263352.776,913.083,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2466,366425.927,2263352.768,914.802,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2467,366452.467,2263352.79,916.822,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2468,366585.403,2263450.277,917.548,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2470,366635.25,2263450.237,917.608,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2471,366688.339,2263450.265,918.346,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2472,366847.913,2263469.664,922.698,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2480,366821.14,2263469.728,921.487,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2491,366794.808,2263469.697,920.436,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2492,366768.13,2263469.69,919.272,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2493,366741.636,2263469.719,919.017,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2494,366714.93,2263450.236,918.648,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2495,366741.568,2263450.272,918.771,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2496,366768.106,2263450.248,919.139,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2497,366794.767,2263450.258,919.923,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2498,366821.272,2263450.231,920.685,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2499,366847.88,2263450.26,921.65,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2500,366372.8,2263469.736,908.62,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2501,366399.352,2263469.676,909.386,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2502,366425.939,2263469.705,910.326,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2503,366452.496,2263469.751,911.578,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2504,366479.171,2263469.72,912.669,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2505,366505.649,2263469.727,913.681,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2506,366532.336,2263469.766,915.311,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2507,366558.801,2263469.701,915.927,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2508,366585.527,2263469.774,916.945,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2509,366635.23,2263469.733,917.527,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2510,366661.867,2263469.693,918.02,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2511,366688.456,2263469.7,918.111,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2512,366715.073,2263469.735,918.615,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
2513,366661.75,2263450.253,918.073,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5526,366399.247,2263703.645,907.151,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5527,366007.099,2263820.69,900.33,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5528,366033.701,2263820.71,901.946,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5529,366060.234,2263820.69,903.687,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5530,366109.984,2263820.81,906.175,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5531,366136.604,2263820.701,907.731,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5532,366163.107,2263820.697,908.333,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5533,366189.61,2263820.702,908.562,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5534,366216.339,2263820.666,907.835,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5535,365980.514,2263820.86,898.868,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5536,366242.86,2263820.73,906.66,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5537,366296.098,2263820.68,905.762,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5538,366322.79,2263820.7,905.957,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5545,366269.405,2263820.74,905.625,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5546,365953.997,2263820.72,898.244,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5547,365927.331,2263820.8,897.797,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5548,365900.783,2263820.87,896.808,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5549,366425.917,2263703.65,907.663,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5550,366452.339,2263703.783,908.126,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5552,366478.918,2263703.81,908.626,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5553,366505.558,2263703.82,908.899,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5554,366532.09,2263703.8,909.751,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5555,366558.633,2263703.83,910.544,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5556,366585.34,2263703.843,912.217,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5557,366635.243,2263703.651,912.159,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5558,366661.691,2263703.83,912.731,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5559,366688.289,2263703.808,913.371,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5560,366714.848,2263703.81,914.103,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5561,366741.429,2263703.817,915.023,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5562,366768.002,2263703.84,915.982,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5563,366794.591,2263703.856,917.248,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5564,366821.147,2263703.83,918.524,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
5565,366847.672,2263703.76,919.909,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
