UPN,N_Y,E_X,Elv_Z,Source
91,367210.612,2261441.787,916.924,BS_INV-13_B_S01
92,367237.187,2261441.766,915.673,BS_INV-13_B_S01
93,367263.729,2261441.831,914.977,BS_INV-13_B_S01
99,367184.03,2261441.759,917.354,BS_INV-13_B_S01
110,367157.443,2261441.774,916.36,BS_INV-13_B_S01
111,367130.812,2261441.819,916.018,BS_INV-13_B_S01
112,367104.209,2261441.783,915.664,BS_INV-13_B_S01
113,367054.42,2261422.275,915.345,BS_INV-13_B_S01
114,367104.239,2261422.313,916.45,BS_INV-13_B_S01
115,367130.874,2261422.367,916.323,BS_INV-13_B_S01
116,367157.428,2261422.304,916.554,BS_INV-13_B_S01
117,367184.008,2261422.304,917.151,BS_INV-13_B_S01
118,367210.591,2261422.337,916.789,BS_INV-13_B_S01
119,367237.121,2261422.315,915.684,BS_INV-13_B_S01
120,367263.75,2261422.281,915.28,BS_INV-13_B_S01
123,366841.796,2261441.769,907.227,BS_INV-13_B_S01
124,366868.378,2261441.737,908.612,BS_INV-13_B_S01
125,366894.973,2261441.78,909.982,BS_INV-13_B_S01
126,366921.514,2261441.779,911.389,BS_INV-13_B_S01
127,366948.01,2261441.793,912.903,BS_INV-13_B_S01
128,366974.693,2261441.791,913.589,BS_INV-13_B_S01
129,367001.25,2261441.799,913.948,BS_INV-13_B_S01
130,367027.854,2261441.791,914.58,BS_INV-13_B_S01
131,367054.415,2261441.85,915.337,BS_INV-13_B_S01
268,367027.782,2261422.361,915.016,BS_INV-13_B_S01
359,367001.22,2261422.319,914.608,BS_INV-13_B_S01
360,366948.067,2261422.268,912.543,BS_INV-13_B_S01
585,366948.044,2261324.752,913.248,BS_INV-13_B_S01
586,366974.732,2261324.754,913.402,BS_INV-13_B_S01
587,367001.231,2261324.746,914.257,BS_INV-13_B_S01
588,367027.872,2261324.762,914.36,BS_INV-13_B_S01
589,367054.434,2261324.785,914.872,BS_INV-13_B_S01
590,367104.282,2261324.836,916.173,BS_INV-13_B_S01
591,367130.87,2261324.804,915.913,BS_INV-13_B_S01
592,367157.384,2261324.783,916.14,BS_INV-13_B_S01
593,366921.489,2261324.786,912.266,BS_INV-13_B_S01
594,367183.899,2261324.75,916.627,BS_INV-13_B_S01
595,367237.316,2261324.746,916.38,BS_INV-13_B_S01
596,367263.838,2261324.799,916.009,BS_INV-13_B_S01
599,366841.857,2261422.235,907.479,BS_INV-13_B_S01
600,366868.406,2261422.257,908.407,BS_INV-13_B_S01
601,366894.956,2261422.228,909.846,BS_INV-13_B_S01
602,366921.52,2261422.228,911.448,BS_INV-13_B_S01
603,367210.542,2261324.767,916.314,BS_INV-13_B_S01
604,366894.963,2261324.762,911.94,BS_INV-13_B_S01
605,366868.315,2261324.76,911.058,BS_INV-13_B_S01
606,366841.799,2261324.772,909.799,BS_INV-13_B_S01
608,366841.602,2261305.216,910.728,BS_INV-13_B_S01
609,366868.292,2261305.214,912.334,BS_INV-13_B_S01
610,366894.864,2261305.384,912.668,BS_INV-13_B_S01
611,366921.435,2261305.261,913.743,BS_INV-13_B_S01
612,366948.076,2261305.26,913.778,BS_INV-13_B_S01
613,366974.65,2261305.245,914.16,BS_INV-13_B_S01
614,367001.213,2261305.325,914.401,BS_INV-13_B_S01
615,367027.812,2261305.274,914.89,BS_INV-13_B_S01
616,367054.411,2261305.312,915.157,BS_INV-13_B_S01
617,367104.28,2261305.27,915.988,BS_INV-13_B_S01
618,367130.833,2261305.311,915.639,BS_INV-13_B_S01
619,367157.422,2261305.311,915.496,BS_INV-13_B_S01
620,367184.029,2261305.267,915.78,BS_INV-13_B_S01
621,367210.6,2261305.305,916.068,BS_INV-13_B_S01
622,367237.269,2261305.212,915.739,BS_INV-13_B_S01
623,367263.749,2261305.264,915.641,BS_INV-13_B_S01
627,366974.678,2261422.267,913.419,BS_INV-13_B_S01
8443,366921.611,2261383.336,910.956,BS_INV-13_B_S01
8444,366894.99,2261383.286,910.07,BS_INV-13_B_S01
8445,366868.406,2261383.316,909.321,BS_INV-13_B_S01
8456,366948.093,2261383.264,912.276,BS_INV-13_B_S01
8473,366974.642,2261383.337,912.933,BS_INV-13_B_S01
8474,367027.833,2261383.301,914.401,BS_INV-13_B_S01
8477,367153.106,2261344.244,916.425,BS_INV-13_B_S01
8478,367126.468,2261344.28,916.45,BS_INV-13_B_S01
8479,367104.225,2261344.279,915.976,BS_INV-13_B_S01
8480,367054.397,2261344.28,915.09,BS_INV-13_B_S01
8481,367027.818,2261344.235,914.395,BS_INV-13_B_S01
8482,367001.237,2261344.191,913.861,BS_INV-13_B_S01
8483,366974.697,2261344.211,913.209,BS_INV-13_B_S01
8484,366948.073,2261344.224,912.925,BS_INV-13_B_S01
8485,366921.526,2261344.233,911.843,BS_INV-13_B_S01
8486,366894.909,2261344.234,911.389,BS_INV-13_B_S01
8487,366868.285,2261344.242,910.598,BS_INV-13_B_S01
8488,367001.186,2261383.307,913.913,BS_INV-13_B_S01
8489,367153.041,2261363.736,916.444,BS_INV-13_B_S01
8490,367104.109,2261363.826,916.13,BS_INV-13_B_S01
8491,367054.455,2261363.819,914.802,BS_INV-13_B_S01
8492,367027.741,2261363.752,914.507,BS_INV-13_B_S01
8493,367001.19,2261363.722,913.811,BS_INV-13_B_S01
8494,366974.66,2261363.757,913.494,BS_INV-13_B_S01
8495,366948.008,2261363.725,911.688,BS_INV-13_B_S01
8496,366921.451,2261363.726,910.877,BS_INV-13_B_S01
8497,366894.97,2261363.79,910.427,BS_INV-13_B_S01
8498,366868.366,2261363.759,909.775,BS_INV-13_B_S01
8499,367153.063,2261383.277,916.673,BS_INV-13_B_S01
8500,367126.366,2261383.291,916.074,BS_INV-13_B_S01
8501,367104.148,2261383.317,916.601,BS_INV-13_B_S01
8502,367054.404,2261383.299,915.028,BS_INV-13_B_S01
8503,367126.486,2261363.756,916.201,BS_INV-13_B_S01
8762,367130.88,2261480.785,916.534,BS_INV-13_B_S01
8763,367157.362,2261480.831,916.796,BS_INV-13_B_S01
8764,367183.998,2261480.78,917.288,BS_INV-13_B_S01
8765,367210.703,2261480.773,917.124,BS_INV-13_B_S01
8766,367237.268,2261480.836,916.73,BS_INV-13_B_S01
8767,367263.728,2261480.807,915.418,BS_INV-13_B_S01
8769,366868.385,2261461.24,908.677,BS_INV-13_B_S01
8770,366894.925,2261461.238,909.525,BS_INV-13_B_S01
8771,366921.58,2261461.252,911.337,BS_INV-13_B_S01
8772,366948.193,2261461.264,912.859,BS_INV-13_B_S01
8773,366974.649,2261461.238,913.252,BS_INV-13_B_S01
8774,367001.247,2261461.302,914.288,BS_INV-13_B_S01
8775,367027.866,2261461.223,914.893,BS_INV-13_B_S01
8776,367054.372,2261461.174,915.043,BS_INV-13_B_S01
8777,367104.264,2261461.201,916.37,BS_INV-13_B_S01
8778,367130.928,2261461.2,916.14,BS_INV-13_B_S01
8779,367157.423,2261461.285,916.676,BS_INV-13_B_S01
8780,367184.005,2261461.219,917.321,BS_INV-13_B_S01
8781,367210.597,2261461.242,917.304,BS_INV-13_B_S01
8782,367237.167,2261461.246,916.551,BS_INV-13_B_S01
8783,367263.783,2261461.265,915.958,BS_INV-13_B_S01
8789,367104.311,2261480.808,916.629,BS_INV-13_B_S01
8790,367054.012,2261480.85,915.188,BS_INV-13_B_S01
8791,367027.767,2261480.837,914.762,BS_INV-13_B_S01
8792,367001.29,2261480.875,914.532,BS_INV-13_B_S01
8794,367157.517,2261500.285,916.73,BS_INV-13_B_S01
8795,367183.85,2261500.336,916.295,BS_INV-13_B_S01
8796,367210.594,2261500.244,916.42,BS_INV-13_B_S01
8797,367237.261,2261500.437,916.023,BS_INV-13_B_S01
8798,367263.775,2261500.326,915.287,BS_INV-13_B_S01
8800,366868.545,2261519.673,908.082,BS_INV-13_B_S01
8801,366895.052,2261519.734,908.528,BS_INV-13_B_S01
8802,366921.58,2261519.758,910.142,BS_INV-13_B_S01
8803,366948.128,2261519.753,911.973,BS_INV-13_B_S01
8804,366974.694,2261519.727,912.907,BS_INV-13_B_S01
8805,367001.253,2261519.761,914.513,BS_INV-13_B_S01
8807,367027.831,2261519.766,915.084,BS_INV-13_B_S01
8808,367104.163,2261519.768,916.067,BS_INV-13_B_S01
8809,367130.956,2261519.795,915.297,BS_INV-13_B_S01
8810,367157.427,2261519.817,915.355,BS_INV-13_B_S01
8811,367184.048,2261519.804,915.675,BS_INV-13_B_S01
8812,367210.621,2261519.764,915.154,BS_INV-13_B_S01
8813,367237.287,2261519.75,914.859,BS_INV-13_B_S01
8814,367263.837,2261519.751,914.541,BS_INV-13_B_S01
8815,367290.511,2261519.805,913.909,BS_INV-13_B_S01
8816,366868.264,2261480.768,908.355,BS_INV-13_B_S01
8817,366894.976,2261480.826,909.742,BS_INV-13_B_S01
8818,366921.526,2261480.808,910.537,BS_INV-13_B_S01
8819,366948.117,2261480.859,912.255,BS_INV-13_B_S01
8820,366974.683,2261480.798,913.211,BS_INV-13_B_S01
8821,367054.316,2261519.774,915.001,BS_INV-13_B_S01
10500,367130.723,2261500.283,915.868,BS_INV-13_B_S01
14230,367104.319,2261500.359,916.202,BS_INV-13_B_S01
14232,367027.907,2261500.279,915.24,BS_INV-13_B_S01
18301,367054.435,2261500.335,915.146,BS_INV-13_B_S01
19660,366868.441,2261500.235,907.946,BS_INV-13_B_S01
19661,366895.064,2261500.284,908.758,BS_INV-13_B_S01
19662,366921.615,2261500.287,910.127,BS_INV-13_B_S01
19663,366948.162,2261500.339,911.945,BS_INV-13_B_S01
19664,366974.64,2261500.24,912.974,BS_INV-13_B_S01
19665,367001.207,2261500.27,914.893,BS_INV-13_B_S01
19702,367001.234,2261539.25,914.499,BS_INV-13_B_S01
19703,367027.846,2261539.253,914.486,BS_INV-13_B_S01
19704,367054.386,2261539.2,914.572,BS_INV-13_B_S01
19705,367104.291,2261539.225,916.041,BS_INV-13_B_S01
19706,367130.822,2261539.257,915.057,BS_INV-13_B_S01
19707,367157.488,2261539.364,914.393,BS_INV-13_B_S01
19708,367184.207,2261539.335,914.884,BS_INV-13_B_S01
19709,367210.582,2261539.202,915.094,BS_INV-13_B_S01
19710,367237.183,2261539.289,914.573,BS_INV-13_B_S01
19711,367263.844,2261539.245,914.671,BS_INV-13_B_S01
19712,367290.472,2261539.293,915.057,BS_INV-13_B_S01
19715,366974.727,2261539.228,913.714,BS_INV-13_B_S01
19729,366868.422,2261578.23,906.806,BS_INV-13_B_S01
19731,366895.041,2261578.202,908.036,BS_INV-13_B_S01
19732,366948.146,2261539.247,912.275,BS_INV-13_B_S01
19733,366895.064,2261539.301,908.308,BS_INV-13_B_S01
19745,366868.603,2261558.78,906.888,BS_INV-13_B_S01
19746,366895.038,2261558.795,908.521,BS_INV-13_B_S01
19747,366921.661,2261539.191,910.064,BS_INV-13_B_S01
19748,366921.814,2261558.783,909.939,BS_INV-13_B_S01
19749,366974.575,2261558.852,913.22,BS_INV-13_B_S01
19750,367001.214,2261558.802,914.303,BS_INV-13_B_S01
19751,367027.818,2261558.802,914.762,BS_INV-13_B_S01
19752,367054.441,2261558.886,915.681,BS_INV-13_B_S01
19753,367104.26,2261558.776,915.531,BS_INV-13_B_S01
19754,367130.769,2261558.895,915.024,BS_INV-13_B_S01
19755,367157.379,2261558.832,914.27,BS_INV-13_B_S01
19756,367184.013,2261558.881,914.762,BS_INV-13_B_S01
19757,367210.571,2261558.841,915.221,BS_INV-13_B_S01
19758,367237.28,2261558.827,915.103,BS_INV-13_B_S01
