UPN,N_Y,E_X,Elv_Z,Source
29512,366371.056,2261285.733,898.526,BS_INV-13_B_S01
29513,366397.752,2261285.684,898.728,BS_INV-13_B_S01
29514,366424.386,2261285.741,899.085,BS_INV-13_B_S01
29515,366451.059,2261285.726,899.658,BS_INV-13_B_S01
29516,366477.504,2261285.685,899.399,BS_INV-13_B_S01
29517,366504.04,2261285.709,899.969,BS_INV-13_B_S01
29518,366530.741,2261285.734,900.894,BS_INV-13_B_S01
29519,366557.286,2261285.761,901.794,BS_INV-13_B_S01
29520,366607.139,2261285.735,901.967,BS_INV-13_B_S01
29521,366633.702,2261285.77,902.623,BS_INV-13_B_S01
29522,366660.293,2261285.738,903.566,BS_INV-13_B_S01
29523,366686.848,2261285.739,904.15,BS_INV-13_B_S01
29524,366713.392,2261285.754,905.177,BS_INV-13_B_S01
29525,366739.964,2261285.754,905.838,BS_INV-13_B_S01
29529,366793.122,2261305.208,907.872,BS_INV-13_B_S01
29543,366766.551,2261285.758,906.776,BS_INV-13_B_S01
29544,366371.176,2261305.201,898.212,BS_INV-13_B_S01
29545,366424.42,2261305.215,898.642,BS_INV-13_B_S01
29546,366450.973,2261305.198,899.034,BS_INV-13_B_S01
29547,366477.556,2261305.205,899.783,BS_INV-13_B_S01
29548,366504.177,2261305.229,899.965,BS_INV-13_B_S01
29549,366530.742,2261305.17,901.369,BS_INV-13_B_S01
29550,366557.361,2261305.216,901.376,BS_INV-13_B_S01
29551,366607.112,2261305.23,902.048,BS_INV-13_B_S01
29552,366633.696,2261305.224,902.641,BS_INV-13_B_S01
29553,366660.258,2261305.236,903.701,BS_INV-13_B_S01
29554,366686.85,2261305.286,903.937,BS_INV-13_B_S01
29555,366713.419,2261305.233,905.248,BS_INV-13_B_S01
29556,366739.98,2261305.236,905.386,BS_INV-13_B_S01
29557,366766.573,2261305.269,906.954,BS_INV-13_B_S01
29558,366397.809,2261305.213,898.193,BS_INV-13_B_S01
29559,366793.158,2261285.72,908.073,BS_INV-13_B_S01
29577,366397.937,2261246.802,898.974,BS_INV-13_B_S01
29578,366424.331,2261246.732,899.137,BS_INV-13_B_S01
29579,366451.06,2261246.704,899.998,BS_INV-13_B_S01
29580,366477.59,2261246.664,899.643,BS_INV-13_B_S01
29581,366504.076,2261246.814,900.197,BS_INV-13_B_S01
29582,366530.677,2261246.736,901.704,BS_INV-13_B_S01
29583,366557.313,2261246.724,902.098,BS_INV-13_B_S01
29584,366607.212,2261246.681,902.307,BS_INV-13_B_S01
29585,366633.775,2261246.806,903.073,BS_INV-13_B_S01
29586,366660.315,2261246.695,903.953,BS_INV-13_B_S01
29587,366686.863,2261246.724,904.904,BS_INV-13_B_S01
29588,366713.445,2261246.725,905.697,BS_INV-13_B_S01
29589,366740.026,2261246.74,907.173,BS_INV-13_B_S01
29590,366371.231,2261246.798,898.646,BS_INV-13_B_S01
29593,366766.62,2261266.201,907.673,BS_INV-13_B_S01
29607,366793.153,2261266.242,908.66,BS_INV-13_B_S01
29609,366397.79,2261266.257,899.012,BS_INV-13_B_S01
29610,366424.348,2261266.189,899.514,BS_INV-13_B_S01
29611,366450.968,2261266.258,899.221,BS_INV-13_B_S01
29612,366477.571,2261266.19,899.409,BS_INV-13_B_S01
29613,366504.097,2261266.217,899.861,BS_INV-13_B_S01
29614,366530.745,2261266.217,901.437,BS_INV-13_B_S01
29615,366557.328,2261266.277,901.934,BS_INV-13_B_S01
29616,366607.125,2261266.205,902.065,BS_INV-13_B_S01
29617,366633.712,2261266.224,902.542,BS_INV-13_B_S01
29618,366660.302,2261266.225,903.402,BS_INV-13_B_S01
29619,366686.848,2261266.26,904.308,BS_INV-13_B_S01
29620,366713.44,2261266.212,905.408,BS_INV-13_B_S01
29621,366740.088,2261266.235,906.499,BS_INV-13_B_S01
29622,366371.194,2261266.217,898.563,BS_INV-13_B_S01
29623,366766.601,2261246.784,908.193,BS_INV-13_B_S01
29625,366793.162,2261324.771,907.577,BS_INV-13_B_S01
29638,366371.112,2261363.801,898.26,BS_INV-13_B_S01
29639,366397.684,2261363.773,898.584,BS_INV-13_B_S01
29640,366424.338,2261363.785,898.544,BS_INV-13_B_S01
29641,366450.901,2261363.797,898.948,BS_INV-13_B_S01
29642,366477.534,2261363.79,899.435,BS_INV-13_B_S01
29643,366504.148,2261363.818,899.429,BS_INV-13_B_S01
29644,366530.751,2261363.797,900.883,BS_INV-13_B_S01
29645,366557.181,2261363.775,901.421,BS_INV-13_B_S01
29646,366607.048,2261363.748,901.152,BS_INV-13_B_S01
29647,366633.755,2261363.792,901.963,BS_INV-13_B_S01
29648,366660.292,2261363.742,902.567,BS_INV-13_B_S01
29649,366686.8,2261363.756,903.476,BS_INV-13_B_S01
29650,366713.452,2261363.78,904.179,BS_INV-13_B_S01
29651,366740.011,2261363.773,904.821,BS_INV-13_B_S01
29652,366766.621,2261363.747,905.625,BS_INV-13_B_S01
29669,366371.147,2261383.284,898.77,BS_INV-13_B_S01
29670,366793.168,2261363.756,906.551,BS_INV-13_B_S01
29671,366397.782,2261383.27,898.966,BS_INV-13_B_S01
29672,366450.925,2261383.303,898.981,BS_INV-13_B_S01
29673,366477.514,2261383.294,898.916,BS_INV-13_B_S01
29674,366504.096,2261383.273,899.499,BS_INV-13_B_S01
29675,366530.74,2261383.265,900.868,BS_INV-13_B_S01
29676,366557.35,2261383.314,901.278,BS_INV-13_B_S01
29677,366607.176,2261383.27,901.507,BS_INV-13_B_S01
29678,366633.712,2261383.316,901.901,BS_INV-13_B_S01
29679,366660.25,2261383.283,902.749,BS_INV-13_B_S01
29680,366686.85,2261383.286,903.062,BS_INV-13_B_S01
29681,366713.458,2261383.252,903.935,BS_INV-13_B_S01
29682,366740.023,2261383.263,904.788,BS_INV-13_B_S01
