UPN,N_Y,E_X,Elv_Z,Source
19321,367393.705,2261519.728,909.762,BS_INV-13_B_S01
19322,367420.254,2261519.714,908.568,BS_INV-13_B_S01
19323,367446.711,2261519.712,907.283,BS_INV-13_B_S01
19324,367473.333,2261519.69,906.382,BS_INV-13_B_S01
19325,367499.789,2261519.72,904.612,BS_INV-13_B_S01
19326,367526.485,2261519.708,903.275,BS_INV-13_B_S01
19327,367552.983,2261519.716,901.977,BS_INV-13_B_S01
19329,367629.314,2261519.684,899.909,BS_INV-13_B_S01
19330,367655.829,2261519.661,899.016,BS_INV-13_B_S01
19332,367708.959,2261519.704,895.3,BS_INV-13_B_S01
19333,367735.605,2261519.706,893.934,BS_INV-13_B_S01
19334,367762.22,2261519.737,892.502,BS_INV-13_B_S01
19335,367788.746,2261519.706,891.915,BS_INV-13_B_S01
19336,367393.576,2261539.223,908.805,BS_INV-13_B_S01
19337,367420.217,2261539.284,907.849,BS_INV-13_B_S01
19338,367446.741,2261539.265,907.18,BS_INV-13_B_S01
19339,367473.261,2261539.261,906.15,BS_INV-13_B_S01
19340,367499.847,2261539.246,904.964,BS_INV-13_B_S01
19341,367526.364,2261539.248,903.955,BS_INV-13_B_S01
19342,367552.976,2261539.311,902.498,BS_INV-13_B_S01
19343,367579.534,2261539.265,901.598,BS_INV-13_B_S01
19344,367629.399,2261539.251,900.906,BS_INV-13_B_S01
19345,367655.886,2261539.292,899.305,BS_INV-13_B_S01
19346,367682.491,2261539.264,897.507,BS_INV-13_B_S01
19347,367708.953,2261539.28,895.671,BS_INV-13_B_S01
19348,367788.799,2261500.447,891.687,BS_INV-13_B_S01
19349,367762.203,2261500.236,892.532,BS_INV-13_B_S01
19350,367735.618,2261500.291,893.589,BS_INV-13_B_S01
19351,367709.09,2261500.226,894.97,BS_INV-13_B_S01
19352,367762.165,2261422.27,891.253,BS_INV-13_B_S01
19353,367788.836,2261422.2,890.283,BS_INV-13_B_S01
19354,367393.747,2261480.689,911.215,BS_INV-13_B_S01
19355,367420.337,2261480.792,909.243,BS_INV-13_B_S01
19356,367446.907,2261480.767,907.9,BS_INV-13_B_S01
19357,367473.522,2261480.736,906.434,BS_INV-13_B_S01
19358,367500.013,2261480.75,904.719,BS_INV-13_B_S01
19359,367526.511,2261480.791,903.275,BS_INV-13_B_S01
19360,367553.046,2261480.803,901.463,BS_INV-13_B_S01
19361,367579.495,2261480.808,900.057,BS_INV-13_B_S01
19362,367629.527,2261480.682,898.27,BS_INV-13_B_S01
19364,367682.568,2261480.751,896.302,BS_INV-13_B_S01
19365,367735.528,2261539.284,894.267,BS_INV-13_B_S01
19366,367709.116,2261480.742,894.147,BS_INV-13_B_S01
19369,367393.835,2261500.184,910.752,BS_INV-13_B_S01
19370,367420.255,2261500.217,908.914,BS_INV-13_B_S01
19371,367446.81,2261500.232,907.757,BS_INV-13_B_S01
19372,367473.41,2261500.257,906.528,BS_INV-13_B_S01
19373,367499.928,2261500.268,905.309,BS_INV-13_B_S01
19374,367526.598,2261500.283,903.568,BS_INV-13_B_S01
19375,367553.028,2261500.272,901.912,BS_INV-13_B_S01
19376,367579.633,2261500.223,900.676,BS_INV-13_B_S01
19377,367629.364,2261500.302,898.478,BS_INV-13_B_S01
19378,367655.866,2261500.17,897.995,BS_INV-13_B_S01
19379,367682.487,2261500.223,896.422,BS_INV-13_B_S01
19380,367735.65,2261480.751,893.429,BS_INV-13_B_S01
19381,367762.153,2261539.284,893.359,BS_INV-13_B_S01
19382,367788.687,2261539.186,892.457,BS_INV-13_B_S01
19383,367393.541,2261558.832,908.449,BS_INV-13_B_S01
19413,367735.697,2261422.219,892.307,BS_INV-13_B_S01
19416,367420.042,2261558.745,907.585,BS_INV-13_B_S01
19417,367446.621,2261558.701,906.768,BS_INV-13_B_S01
19418,367473.363,2261558.681,905.978,BS_INV-13_B_S01
19419,367499.87,2261558.749,904.452,BS_INV-13_B_S01
19420,367526.38,2261558.77,903.834,BS_INV-13_B_S01
19421,367553.277,2261558.658,902.665,BS_INV-13_B_S01
19422,367579.538,2261558.668,902.582,BS_INV-13_B_S01
19423,367629.357,2261558.732,901.468,BS_INV-13_B_S01
19424,367655.944,2261558.762,899.742,BS_INV-13_B_S01
19426,367708.92,2261558.774,895.734,BS_INV-13_B_S01
19427,367735.478,2261558.715,894.644,BS_INV-13_B_S01
19428,367762.166,2261558.746,893.861,BS_INV-13_B_S01
19430,367788.698,2261558.763,892.995,BS_INV-13_B_S01
19431,367420.034,2261578.207,907.422,BS_INV-13_B_S01
19432,367446.65,2261578.234,906.006,BS_INV-13_B_S01
19433,367473.226,2261578.173,905.73,BS_INV-13_B_S01
19434,367499.796,2261578.245,904.865,BS_INV-13_B_S01
19435,367526.281,2261578.213,903.874,BS_INV-13_B_S01
19436,367552.87,2261578.281,903.276,BS_INV-13_B_S01
19437,367579.316,2261578.143,903.59,BS_INV-13_B_S01
19438,367629.337,2261578.194,901.532,BS_INV-13_B_S01
19439,367655.916,2261578.251,899.834,BS_INV-13_B_S01
19440,367682.343,2261578.224,898.06,BS_INV-13_B_S01
19441,367709.136,2261578.12,896.488,BS_INV-13_B_S01
19442,367735.456,2261578.188,895.419,BS_INV-13_B_S01
19443,367762.07,2261578.223,894.491,BS_INV-13_B_S01
19444,367393.527,2261578.251,908.16,BS_INV-13_B_S01
19446,367709.073,2261422.291,893.487,BS_INV-13_B_S01
19447,367655.934,2261422.271,895.651,BS_INV-13_B_S01
19448,367447.274,2261305.229,907.231,BS_INV-13_B_S01
19449,367473.72,2261305.203,904.408,BS_INV-13_B_S01
19450,367500.14,2261305.196,901.663,BS_INV-13_B_S01
19451,367526.56,2261305.235,898.917,BS_INV-13_B_S01
19452,367553.148,2261305.222,896.967,BS_INV-13_B_S01
19453,367579.704,2261305.196,895.219,BS_INV-13_B_S01
19454,367629.392,2261305.213,892.506,BS_INV-13_B_S01
19455,367655.981,2261305.236,891.243,BS_INV-13_B_S01
19456,367682.592,2261305.214,890.358,BS_INV-13_B_S01
19457,367709.147,2261305.208,890.373,BS_INV-13_B_S01
19458,367735.819,2261305.218,890.393,BS_INV-13_B_S01
19459,367762.501,2261305.24,889.973,BS_INV-13_B_S01
19460,367788.912,2261305.234,888.554,BS_INV-13_B_S01
19461,367420.654,2261324.711,909.281,BS_INV-13_B_S01
19462,367447.127,2261324.698,907.479,BS_INV-13_B_S01
19463,367473.697,2261324.667,904.752,BS_INV-13_B_S01
19464,367500.131,2261324.733,901.888,BS_INV-13_B_S01
19465,367526.667,2261324.715,899.344,BS_INV-13_B_S01
19466,367553.166,2261324.703,897.287,BS_INV-13_B_S01
19467,367579.652,2261324.741,895.318,BS_INV-13_B_S01
19468,367629.37,2261324.701,892.841,BS_INV-13_B_S01
19469,367655.97,2261324.669,891.666,BS_INV-13_B_S01
19470,367682.563,2261324.718,891.202,BS_INV-13_B_S01
19471,367709.195,2261324.689,890.886,BS_INV-13_B_S01
19472,367735.685,2261324.687,890.598,BS_INV-13_B_S01
19473,367762.239,2261324.655,890.401,BS_INV-13_B_S01
19474,367789.046,2261324.514,889.598,BS_INV-13_B_S01
19475,367420.732,2261305.192,909.138,BS_INV-13_B_S01
19476,367788.892,2261285.709,888.601,BS_INV-13_B_S01
19477,367762.344,2261285.714,889.396,BS_INV-13_B_S01
19478,367735.806,2261285.662,889.623,BS_INV-13_B_S01
19479,367735.657,2261441.748,892.827,BS_INV-13_B_S01
19480,367762.249,2261441.736,891.56,BS_INV-13_B_S01
19481,367788.624,2261441.677,890.574,BS_INV-13_B_S01
19482,367420.502,2261461.226,909.296,BS_INV-13_B_S01
19483,367446.83,2261461.232,908.073,BS_INV-13_B_S01
19484,367473.525,2261461.154,906.509,BS_INV-13_B_S01
19485,367499.974,2261461.234,904.575,BS_INV-13_B_S01
19486,367526.473,2261461.333,902.925,BS_INV-13_B_S01
19487,367553.121,2261461.291,901.603,BS_INV-13_B_S01
19488,367579.548,2261461.221,899.762,BS_INV-13_B_S01
19489,367629.307,2261461.229,897.276,BS_INV-13_B_S01
19490,367655.934,2261461.314,896.625,BS_INV-13_B_S01
19491,367682.576,2261461.268,895.799,BS_INV-13_B_S01
19492,367420.617,2261344.244,909.904,BS_INV-13_B_S01
19494,367762.223,2261461.251,891.658,BS_INV-13_B_S01
19495,367788.887,2261461.185,890.75,BS_INV-13_B_S01
19497,367447.221,2261285.679,906.486,BS_INV-13_B_S01
19499,367500.162,2261285.735,901.094,BS_INV-13_B_S01
19500,367526.625,2261285.75,898.413,BS_INV-13_B_S01
19501,367553.126,2261285.707,896.337,BS_INV-13_B_S01
