UPN,As_Built_Northing,As_Built_Easting,As_Built_Top_Elev
500004,373998.917,2266193.658,851.953
500005,373998.906,2266199.608,851.863
500006,374002.561,2266199.627,851.886
500007,374002.575,2266193.646,852.011
500011,373998.984,2266166.67,852.514
500012,374002.674,2266166.737,852.445
