UPN,As_Built_Northing,As_Built_Easting,As_Built_Top_Elev
500302,364499.608,2258535.947,887.05
500303,364499.671,2258541.007,886.98
500304,364499.58,2258546.307,886.97
500305,364499.51,2258553.71,887.005
500306,364499.542,2258559.745,887.04
500307,364503.18,2258559.762,887.06
500308,364503.169,2258553.739,887.043
500309,364503.032,2258541.081,887.047
500310,364503.16,2258535.775,887.041
500312,364503.112,2258546.235,887.014
