OBJECTID,Inverter,Row,Table_,UPN,Drive Time (Min),Drive Time (Sec),As-Built Northing,Design Northing,Top of Pile in Northing Tolerance?,As Built Easting,Design Easting,Top of Pile in Easting Tolerance?,As Built Top Elevation,Design Elevation,Pile Length (ft),As-Built Reveal (ft),Design Min Reveal (ft),Design Max Reveal (ft),Reveal in Spec (Y/N),As-Built Embedment,Design Min Embedment (ft),Min Embedment Met (Y/N),Pile Twist (Degrees),Twist in Tolerance (Y/N),East Degree Lean (West Negative),North Degree Lean (South Negative),Remediation Complete (Y/N/NA),Remediation Type,Top of Pile Delta Northing (in),Top of Pile Location Delta Easting (in),Pile Height (Deg),GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile Type,Table_Ready_for_Racking,Symbology,Tracker Slope (Deg),Cumulative Tracker Slope,Pile Installed?,Elevation in Tolerance?,East Degree Lean in Spec?,North Degree Lean in Spec?,Remediation Approved,Pull Test Passed?,Is Pull Test Needed?,Remediation Performed,Random Pull Test,Cumulative Tracker Slope in Spec?,Date Installed,Date of Pull Test,Date of Random Pull Test,Date Remediation Completed,Date Remediation Approved,Display,Drive Finished At,Drive Machine,Hammering Status,Hammering Flag,Design Bottom of Pile,Remediation_Reccomendation,Symbology_S02,Unique Frame Number,Number of Helicas In Frame,Helical Oreintation,Helical Pile Position,Frame Design Northing,Frame Design Easting,Frame Design Elevation,Helical or W Section,Helical Clocking,Pile Size,Pile_Shape,x,y
47137,15,0,0,500027,,,,367377.604,No,,2262210.333,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408531.248,27146523.996,,700e6678-6460-4806-97a6-a1bbb2d0671a,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.9019883344453,43.0026813660149
47138,15,0,0,500028,,,,367377.604,No,,2262215.583,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408531.248,27146586.996,,90058d3d-52b0-4616-b190-9bae3e149214,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.9019687098496,43.0026811761542
47139,15,0,0,500029,,,,367377.604,No,,2262223.083,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408531.248,27146676.996,,4d9fa05d-49da-4103-8fad-e5f58f14fd0c,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.9019406743279,43.0026809054877
47140,15,0,0,500030,,,,367373.989,No,,2262196.166,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408487.868,27146353.992,,f55e86e1-c5be-4533-8402-9156aba2aaaa,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.9020414688961,43.0026719596962
47141,15,0,0,500031,,,,367373.989,No,,2262205.083,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27146460.996,,a0772421-9ad7-492a-80a0-1e59659370cb,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.9020081369074,43.002671637787
47142,15,0,0,500032,,,,367373.989,No,,2262210.333,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27146523.996,,1e9a087c-bb7c-4f8f-8387-e07ed686e4f9,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.9019885123117,43.0026714479262
47143,15,0,0,500033,,,,367373.989,No,,2262215.583,No,,908.5164,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4408487.868,27146586.996,,8c7f553f-b5f7-4c73-9ebe-89245854bf20,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.901968887716,43.0026712580654
47144,15,0,0,500034,,,,367373.989,No,,2262223.083,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408487.868,27146676.996,,38733100-f30a-4a9d-b4dc-d473e58a14a4,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.9019408521943,43.0026709873989
47145,15,0,0,500035,,,,367373.989,No,,2262229.083,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408487.868,27146748.996,,dd2489fa-f088-4bc9-8dcd-68429f6f984a,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.901918424855,43.0026707706029
47146,15,0,0,500036,,,,367377.604,No,,2262229.083,No,,908.5164,19.5,,1.0,3.5,,,16.0,,,Yes,,,,,4408531.248,27146748.996,,5447b9b1-c1ae-4b07-aeee-ce7d40126258,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:52:56 AM,sauron.sanchez,,,,INVERTER PILE,,1.0,,,Yes,,,,,,,,,Yes,1/2/2026 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.9019182469885,43.0026806886917
