UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned ,id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
600209,365948.578,2260020.179,895.361,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600209,COMPLETED,,0.000994074,272.9076321,2025-12-03 15:53:42,,Doyle-2500-011 - Machine 2
600210,365960.048,2260020.296,895.456,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600210,COMPLETED,,0.000756644,272.9471188,2025-12-04 10:43:30,,Doyle-2500-011 - Machine 2
600211,365808.695,2260055.466,893.933,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600211,COMPLETED,0.000871759,0.005504803,272.4260802,2025-12-16 16:49:57,2025-12-16 16:41:21,Doyle-2500-021 - Machine 4
600212,365804.824,2260055.3,893.637,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600212,COMPLETED,,0.000800845,272.3836214,2025-12-04 13:19:44,,Doyle-2500-011 - Machine 2
600213,365804.463,2260057.154,893.664,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600213,COMPLETED,,0.000866991,272.3939439,2025-12-04 13:23:14,,Doyle-2500-011 - Machine 2
600214,365808.929,2260057.451,893.967,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600214,COMPLETED,0.003601042,0.002215949,272.4373188,2025-12-16 16:38:09,2025-12-16 16:34:57,Doyle-2500-021 - Machine 4
600215,365804.934,2260074.893,894.272,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600215,COMPLETED,,0.000624248,272.5543152,2025-12-04 13:38:25,,Doyle-2500-011 - Machine 2
600216,365809.208,2260074.722,894.375,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600216,COMPLETED,,0.000675972,272.5959345,2025-12-04 13:28:34,,Doyle-2500-011 - Machine 2
600217,365809.488,2260076.684,894.375,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600217,COMPLETED,,0.000648646,272.6141761,2025-12-04 13:32:04,,Doyle-2500-011 - Machine 2
600218,365804.398,2260076.647,894.261,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,600218,COMPLETED,,0.000692755,272.5690213,2025-12-04 13:41:37,,Doyle-2500-011 - Machine 2
800003,0.0,0.0,0.0,BS_INV-19_S06.csv,BS_INV-19_T_S06,1/6/2025,,,,,,,,,,,800003,INCOMPLETE_NO_FINISH_TIME,0.011486863,0.001945694,,,2026-01-12 10:50:45,Doyle-2500-010 - Machine 1
400254,366084.1609,2262867.807,908.251964,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,400254,COMPLETED,,0.006508137,276.8349584,2025-12-17 08:09:06,,Doyle-2500-020 - Machine 3
400255,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,400255,COMPLETED,0.000448738,0.002099769,270.3898619,2025-12-15 16:08:57,2025-12-15 16:05:50,Doyle-2500-020 - Machine 3
400256,365560.983,2262965.223,905.3892118,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,400256,COMPLETED,,0.002066238,276.9846233,2025-12-30 12:21:05,,Doyle-2500-007 - Machine 8
400257,365561.0298,2262024.23,904.2979482,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,400257,COMPLETED,,0.003964306,275.6245731,2025-12-29 10:47:39,,Doyle-2500-010 - Machine 1
400258,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,400258,COMPLETED,,0.00210022,274.7218248,2025-12-17 11:55:36,,Doyle-2500-011 - Machine 2
400259,365557.42745,2262318.2267044997,902.0910745,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,400259,COMPLETED,,0.005515197,275.1322432,2025-12-29 11:53:13,,Doyle-2500-010 - Machine 1
400260,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,400260,COMPLETED,,0.000134167,273.3739016,2025-12-17 13:00:23,,Doyle-2500-011 - Machine 2
400261,365557.4663,2262298.872,902.73681865,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,400261,COMPLETED,,0.004315984,275.3381491,2025-12-29 11:44:33,,Doyle-2500-010 - Machine 1
600257,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600257,COMPLETED,,0.000456863,275.7666471,2025-12-17 13:10:24,,Doyle-2500-011 - Machine 2
600258,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600258,COMPLETED,0.000940718,0.00082985,275.7428074,2025-12-17 13:13:23,2025-12-17 13:11:49,Doyle-2500-011 - Machine 2
600259,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600259,COMPLETED,,7.52778e-05,275.7787996,2025-12-17 13:16:29,,Doyle-2500-011 - Machine 2
600260,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600260,COMPLETED,,0.001911215,275.7512773,2025-12-17 13:19:17,,Doyle-2500-011 - Machine 2
600261,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,,600261,COMPLETED,,0.000580729,275.8570556,2025-12-17 11:34:07,,Doyle-2500-011 - Machine 2
