UPN,Design Northing,Design Easting,Design Elevation
400168,367221.758,2261401.772,921.5442
400169,366577.691,2261401.772,904.96
400170,367221.758,2261403.772,921.5006
400171,367076.878,2261403.772,919.53
600028,367360.05,2261361.834,920.2849
600029,367353.15,2261361.834,920.6419
600030,367353.15,2261363.709,920.6789
600031,367360.05,2261363.709,920.3625
600159,367215.178,2261400.835,924.2641
600160,367209.818,2261400.835,924.4149
600161,367220.558,2261400.835,924.0853
600162,367204.458,2261400.835,924.574
600163,367215.178,2261404.71,924.2089
600164,367209.818,2261404.71,924.3806
600165,367220.558,2261404.71,924.0272
600166,367204.458,2261404.71,924.5837
800004,367263.847,2261370.772,919.1901
400031,367603.521,2262009.772,912.7743874
400032,367603.521,2261595.272,906.9560066
400033,368358.979,2262009.772,906.4109379
400034,368358.979,2261809.772,908.726151845925
400035,368100.665,2262009.772,907.8383
400036,368100.665,2261653.772,901.673927299999
400037,367607.066,2261832.772,908.029
400038,367471.342,2261832.772,913.5361
400039,368104.209,2261811.272,903.876358699999
400040,367466.742,2261811.272,912.6718
400041,368362.524,2261813.272,907.809551845925
400042,367466.742,2261813.272,912.7615
400172,367080.379,2262029.272,914.1036
400173,367080.379,2261595.272,918.903384999999
400174,367331.95,2261811.272,914.9146
400175,367076.834,2261811.272,915.43
600032,367473.692,2261810.334,915.1242
600033,367467.942,2261810.334,915.1747
600034,367479.442,2261810.334,914.9891
600035,367473.692,2261814.21,915.2149
600036,367467.942,2261814.21,915.2996
600037,367479.442,2261814.21,915.095
600038,367472.542,2261833.71,916.0938
600039,367479.442,2261833.71,915.9078
600167,367330.75,2261810.334,917.3824
600168,367323.85,2261810.334,917.4223
600169,367330.75,2261812.209,917.3979
600170,367323.85,2261812.209,917.4284
400043,367603.329,2262024.272,912.897930099999
400044,367603.522,2262399.772,910.745058
400045,368358.979,2262399.772,921.5337206
400046,368358.979,2262024.272,906.740520599999
400047,368100.709,2262399.772,916.722373538663
400048,368100.709,2262024.272,907.6751
400049,367606.985,2262240.272,912.95
400050,367469.042,2262240.272,911.9692
400051,367466.742,2262181.772,912.8296
400052,368362.524,2262183.772,908.4252
400053,367466.742,2262183.772,912.7535
400054,368104.209,2262181.772,907.02
400176,367080.379,2262419.272,896.2161876
400177,367080.379,2262043.772,913.4493
400178,367331.95,2262240.272,910.9948
400179,367076.834,2262240.272,903.0873672
600040,367473.692,2262180.834,915.4404
600041,367467.942,2262180.834,915.368
600042,367479.442,2262180.834,915.5203
600043,367473.692,2262184.71,915.2934
600044,367467.942,2262184.71,915.2547
600045,367479.442,2262184.71,915.3887
600046,367470.242,2262239.334,914.4865
600047,367479.442,2262239.334,914.6421
600048,367474.842,2262239.334,914.603
600171,367323.85,2262239.334,913.4258
600172,367328.45,2262239.334,913.4009
600173,367330.75,2262241.209,913.4414
600174,367323.85,2262241.209,913.4345
800005,367428.604,2262229.083,909.5951
400055,367603.522,2262414.272,910.4731
400056,367603.522,2262887.272,888.4771915
400057,368100.709,2262867.772,903.58
400058,368100.709,2262414.272,917.4966659
400059,368358.979,2262414.272,923.0783718
400060,368358.979,2262867.772,904.8495855
400061,367607.066,2262630.272,898.6073453
400062,367462.142,2262630.272,897.3858
400063,368104.209,2262571.772,915.7296
400064,367466.742,2262571.772,903.1278
400065,368362.524,2262573.772,919.2330088
400066,367466.742,2262573.772,903.2451
400180,367080.379,2262433.772,894.8953116
400181,367080.379,2262633.772,895.567214799999
400182,367327.35,2262591.272,890.7434
400183,367076.834,2262591.272,894.986375299999
600049,367473.692,2262570.835,905.5217
600050,367467.942,2262570.835,905.5282
600051,367479.442,2262570.835,905.5096
600052,367473.692,2262574.71,905.77
600053,367467.942,2262574.71,905.8841
600054,367479.442,2262574.71,905.6281
600055,367468.702,2262629.335,899.4096
600056,367479.442,2262629.335,899.8332
600057,367474.062,2262629.335,899.3931
600058,367463.342,2262629.335,899.9344
600175,367323.85,2262590.334,893.2955
600176,367326.15,2262590.334,893.305
600177,367323.85,2262592.209,893.2066
600178,367326.15,2262592.209,893.1674
700006,368633.5,2262865.199,895.5939
400184,366609.236,2262784.772,902.770231931171
400185,366086.093,2263842.772,908.400487415956
400186,366086.093,2263428.272,906.676550665812
400187,366609.236,2263725.772,915.697826705283
400190,366612.78,2263371.272,923.367
400191,366612.78,2263373.272,923.367
400192,366337.665,2263429.772,911.3282
400193,366082.548,2263429.772,905.759884065812
600179,366469.056,2263370.335,923.1555
600180,366485.156,2263370.335,923.996
600181,366479.776,2263370.335,923.6116
600182,366474.416,2263370.335,923.3755
600183,366479.776,2263374.21,923.3978
600184,366474.416,2263374.21,923.1822
600185,366485.156,2263374.21,923.7533
600186,366469.056,2263374.21,922.8483
600187,366336.465,2263428.834,915.0904
600188,366329.565,2263428.834,914.6654
600189,366336.465,2263430.709,915.0533
600190,366329.565,2263430.709,914.599
700004,366399.949,2259038.097,894.3532
800003,365909.175,2260064.583,892.5887
400255,366084.137,2262339.272,887.108761015966
400258,365812.522,2262318.272,901.3147
400260,365812.522,2262298.772,901.1296
600257,365811.322,2262297.835,904.8402
600258,365804.422,2262297.835,904.6847
600259,365811.322,2262299.71,904.8668
600260,365804.422,2262299.71,904.7028
600261,365811.322,2262317.334,905.0424
600262,365804.422,2262317.334,904.8081
600263,365811.322,2262319.209,905.0761
600264,365804.422,2262319.209,904.7931
600265,366085.074,2262340.472,888.86
600266,366083.2,2262340.472,888.8423
600267,366085.074,2262347.372,888.9922
600268,366083.2,2262347.372,889.0793
700005,365733.978,2263857.079,899.756
400072,367096.576,2257402.464,885.079721099999
400074,367096.576,2257404.464,885.079721099999
400075,367507.417,2257343.964,886.707379673842
400076,367374.037,2257343.964,885.879858
400077,367507.417,2257363.464,886.781650891591
400078,367374.037,2257363.464,885.856136
700002,367756.882,2256722.454,883.2284
400091,367100.121,2259219.464,893.629137699999
400092,367100.121,2258395.464,889.459541308395
400093,367503.872,2259355.964,887.599411946621
400094,367503.872,2258531.964,886.218133120214
400095,367239.245,2258864.964,889.5902
400096,367096.576,2258864.964,890.15864660571
400097,367239.245,2258866.964,889.5862
400098,367096.576,2258866.964,890.15864660571
400099,367507.417,2258825.964,885.46078204425
400100,367374.037,2258825.964,889.9735
400101,367507.417,2258845.464,885.613563307394
400102,367374.037,2258845.464,890.3
600087,367375.237,2258825.026,893.6262
600088,367379.837,2258825.026,893.4764
600089,367375.237,2258826.901,893.7113
600090,367379.837,2258826.901,893.5057
600091,367375.237,2258844.526,893.7738
600092,367379.837,2258844.526,893.6523
600093,367377.537,2258846.401,893.7083
600094,367379.837,2258846.401,893.6522
600095,367224.245,2258864.027,893.2009
600096,367238.045,2258864.027,893.2597
600097,367231.145,2258864.027,893.2254
600098,367229.995,2258867.902,893.3045
600099,367224.245,2258867.902,893.2143
600100,367235.745,2258867.902,893.2136
600412,370307.6,2270907.228,831.9094
600415,370307.6,2270909.103,831.7905
600417,370307.6,2270965.728,831.3486
600418,370307.6,2270967.603,831.4405
