OBJECTID,Inverter,Row,Table_,UPN,Drive Time (Min),Drive Time (Sec),As-Built Northing,Design Northing,Top of Pile in Northing Tolerance?,As Built Easting,Design Easting,Top of Pile in Easting Tolerance?,As Built Top Elevation,Design Elevation,Pile Length (ft),As-Built Reveal (ft),Design Min Reveal (ft),Design Max Reveal (ft),Reveal in Spec (Y/N),As-Built Embedment,Design Min Embedment (ft),Min Embedment Met (Y/N),Pile Twist (Degrees),Twist in Tolerance (Y/N),East Degree Lean (West Negative),North Degree Lean (South Negative),Remediation Complete (Y/N/NA),Remediation Type,Top of Pile Delta Northing (in),Top of Pile Location Delta Easting (in),Pile Height (Deg),GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile Type,Table_Ready_for_Racking,Symbology,Tracker Slope (Deg),Cumulative Tracker Slope,Pile Installed?,Elevation in Tolerance?,East Degree Lean in Spec?,North Degree Lean in Spec?,Remediation Approved,Pull Test Passed?,Is Pull Test Needed?,Remediation Performed,Random Pull Test,Cumulative Tracker Slope in Spec?,Date Installed,Date of Pull Test,Date of Random Pull Test,Date Remediation Completed,Date Remediation Approved,Display,Drive Finished At,Drive Machine,Hammering Status,Hammering Flag,Design Bottom of Pile,Remediation_Reccomendation,Symbology_S02,Unique Frame Number,Number of Helicas In Frame,Helical Oreintation,Helical Pile Position,Frame Design Northing,Frame Design Easting,Frame Design Elevation,Helical or W Section,Helical Clocking,Pile Size,Pile_Shape,x,y
47301,19,0,0,500191,,,365858.165,365858.175,Yes,2260040.66,2260040.583,Yes,889.095,889.0723,17.5,889.095,1.0,3.5,No,-871.595,14.0,No,,Yes,,,Yes,,0.120000000111759,-0.924000000581145,,72b31f6f-a95f-44a5-9d6d-f44c772c605c,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9101731194592,42.9985908453596
47302,19,0,0,500192,,,365858.023,365858.175,Yes,2260031.78,2260031.666,No,888.937,889.0723,16.5,888.937,1.0,3.5,No,-872.437,13.0,No,,Yes,,,Yes,,1.82400000002235,-1.36799999512732,,e8c29ef4-8313-48a0-9f4d-03b24bee575c,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 6:41:37 AM,sauron.sanchez,,,,INVERTER PILE,,6.0,,,Yes,Yes,No,No,Yes,,,Field verified by Cameron,,Yes,2/2/2026 6:00:00 AM,,,2/2/2026 6:00:00 AM,2/2/2026 6:00:00 AM,Remediation,,,,,,,,,,,,,,,,,,,-88.9102064496512,42.9985911653193
47351,24,0,0,500241,,,365854.465,365854.56,Yes,2263321.755,2263321.833,Yes,900.822,901.0185,17.5,900.822,1.0,3.5,No,-883.322,14.0,No,,Yes,,,,,1.13999999966472,0.936000002548099,,86b2501d-e183-4612-81d8-1b73ad9bbc87,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/30/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,,,,,-88.8979087900927,42.9984626044898
47352,24,0,0,500242,,,365854.516,365854.56,Yes,2263327.038,2263327.083,Yes,901.084,901.0185,17.5,901.084,1.0,3.5,No,-883.584,14.0,No,,Yes,,,,,0.527999999932945,0.53999999910593,,01257a19-e2f7-4579-aa69-205ec81fd6b2,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/30/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,,,,,-88.8978891663953,42.9984624139591
47353,24,0,0,500243,,,365854.542,365854.56,Yes,2263334.519,2263334.583,Yes,901.045,901.0185,16.5,901.045,1.0,3.5,No,-884.545,13.0,No,,Yes,,,,,0.215999999782071,0.76800000295043,,a62ed4de-b5eb-419c-a6f0-45cf1b9f71f5,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.8978611335686,42.99846214196
47354,24,0,0,500244,,,365854.531,365854.56,Yes,2263340.425,2263340.583,No,900.883,901.0185,16.5,900.883,1.0,3.5,No,-884.383,13.0,No,,Yes,,,,,0.347999999765307,1.89600000344217,,bc12e754-c96b-48cb-a770-f243850cef23,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.8978387071275,42.9984619244921
47355,24,0,0,500245,,,365858.204,365858.175,Yes,2263340.488,2263340.583,Yes,901.067,901.0185,16.5,901.067,1.0,3.5,No,-884.567,13.0,No,,Yes,,,,,-0.348000000463799,1.14000000245869,,f14dc8e3-f148-4529-98dd-826e5035c84b,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.8978385283628,42.9984718426033
47356,24,0,0,500246,,,365858.256,365858.175,Yes,2263334.482,2263334.583,No,900.961,901.0185,16.5,900.961,1.0,3.5,No,-884.461,13.0,No,,Yes,,,,,-0.972000000067055,1.21200000308454,,24ca6b48-10e0-4461-8bf4-4d4801096f6b,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.8978609548038,42.9984720600712
47357,24,0,0,500247,,,365858.138,365858.175,Yes,2263327.059,2263327.083,Yes,900.94,901.0185,17.5,900.94,1.0,3.5,No,-883.44,14.0,No,,Yes,,,,,0.44400000013411,0.288000002503395,,0d37a8d2-0fc9-4e31-9591-4b7a7be87df0,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/30/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,,,,,-88.8978889885289,42.9984723320702
47358,24,0,0,500248,,,365858.061,365858.175,Yes,2263321.727,2263321.833,No,900.957,901.0185,17.5,900.957,1.0,3.5,No,-883.457,14.0,No,,Yes,,,,,1.36800000001676,1.27200000174344,,bdaac73d-a3e3-44ba-8f2e-892e209aa7c6,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/30/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.897908611328,42.998472522601
47359,24,0,0,500249,,,365858.121,365858.175,Yes,2263316.545,2263316.583,Yes,900.959,901.0185,17.5,900.959,1.0,3.5,No,-883.459,14.0,No,,Yes,,,,,0.648000000044703,0.456000002101064,,aa81b9a7-a87b-43c5-b315-6828ffbcec9e,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/30/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,-88.897928234127,42.9984727124747
47360,24,0,0,500250,,,365858.099,365858.175,Yes,2263307.592,2263307.666,Yes,901.011,901.0185,16.5,901.011,1.0,3.5,No,-884.511,13.0,No,,Yes,,,Yes,,0.912000000011176,0.888000000268221,,c57913b1-a00d-487f-8a74-eabdcdc13384,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,5.0,,,Yes,Yes,No,No,,,,,,Yes,1/8/2026 6:00:00 AM,,,1/8/2026 6:00:00 AM,,Remediation,,,,,,,,,,,,,,,,,,,-88.897961564319,42.9984730363769
47361,24,0,0,500251,,,365854.457,365854.56,Yes,2263316.477,2263316.583,No,900.85,901.0185,17.5,900.85,1.0,3.5,No,-883.35,14.0,No,,Yes,,,,,1.23600000003353,1.27200000174344,,b84c3349-8f40-46d1-8e56-ef5d90590017,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/30/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,,,,,-88.8979284128918,42.9984627950206
47362,24,0,0,500252,,,365854.465,365854.56,Yes,2263307.614,2263307.666,Yes,900.949,901.0185,16.5,900.949,1.0,3.5,No,-884.449,13.0,No,,Yes,,,,,1.13999999966472,0.624000001698732,,23d13b94-b02b-4ead-8ac8-8c7e37c09495,12/16/2025 4:14:51 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,INVERTER PILE,,3.0,,,Yes,Yes,No,No,,,,,,Yes,12/30/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,,,,,-88.8979617421855,42.9984631182659
