id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
600050,COMPLETED,0.001250023,0.000782303,276.0067614,2025-12-31 11:00:13,2025-12-31 10:56:03,Doyle-2500-021 - Machine 4
600051,COMPLETED,0.001130984,0.004177315,276.0063814,2025-12-31 10:44:19,2025-12-31 10:33:05,Doyle-2500-021 - Machine 4
600052,COMPLETED,0.001059954,0.001218912,276.0755756,2025-12-31 10:23:24,2025-12-31 10:19:55,Doyle-2500-021 - Machine 4
600053,COMPLETED,0.000621412,0.003252951,276.1171291,2025-12-31 10:29:54,2025-12-31 10:24:27,Doyle-2500-021 - Machine 4
600054,COMPLETED,,0.002143912,276.0381302,2025-12-31 10:17:21,,Doyle-2500-021 - Machine 4
600055,COMPLETED,,0.000785382,274.1489961,2025-12-31 13:03:18,,Doyle-2500-021 - Machine 4
600056,COMPLETED,,0.001765787,274.2731751,2025-12-31 12:46:09,,Doyle-2500-021 - Machine 4
600057,COMPLETED,,0.000606262,274.1400618,2025-12-31 12:55:48,,Doyle-2500-021 - Machine 4
600058,COMPLETED,,0.005377963,274.3085148,2025-12-31 13:11:09,,Doyle-2500-021 - Machine 4
600175,COMPLETED,,0.00040162,272.2759947,2025-12-31 09:38:27,,Doyle-2500-007 - Machine 8
600176,COMPLETED,0.002539213,0.001816921,272.2744265,2025-12-31 09:45:01,2025-12-31 09:42:13,Doyle-2500-007 - Machine 8
600177,COMPLETED,,0.002008391,272.2461703,2025-12-31 09:24:14,,Doyle-2500-007 - Machine 8
600178,COMPLETED,,0.000280417,272.2376677,2025-12-31 09:30:13,,Doyle-2500-007 - Machine 8
700006,INCOMPLETE_NO_FINISH_TIME,0.013729456,0.000872778,,,2025-12-31 10:06:18,Doyle-2500-010 - Machine 1
400184,COMPLETED,,0.002136528,275.1647805,2025-12-30 15:47:01,,Doyle-2500-010 - Machine 1
400185,COMPLETED,0.002862581,0.002139965,276.8797944,2025-12-30 09:04:35,2025-12-30 09:00:44,Doyle-2500-010 - Machine 1
400186,COMPLETED,0.000989618,0.003025104,276.3548912,2025-12-30 09:24:36,2025-12-30 09:20:13,Doyle-2500-010 - Machine 1
400187,COMPLETED,,0.005004051,279.107142,2025-12-31 13:22:05,,Doyle-2500-011 - Machine 2
400190,COMPLETED,,0.004162257,281.8026123,2025-12-30 13:23:58,,Doyle-2500-021 - Machine 4
400191,INCOMPLETE_NO_FINISH_TIME,,0.004472882,,,,Doyle-2500-021 - Machine 4
400192,COMPLETED,,0.000999954,278.0016625,2025-12-30 13:16:56,,Doyle-2500-010 - Machine 1
400193,COMPLETED,,0.001967315,276.2917416,2025-12-30 09:34:43,,Doyle-2500-010 - Machine 1
500157,INCOMPLETE_NO_FINISH_TIME,,0.00054478,,,,Doyle-2500-011 - Machine 2
500158,INCOMPLETE_NO_FINISH_TIME,,0.002860799,,,,Doyle-2500-011 - Machine 2
500159,COMPLETED,,0.000997986,277.8646094,2025-12-31 09:14:59,,Doyle-2500-011 - Machine 2
500160,COMPLETED,,2.14583E-05,277.8590585,2025-12-30 15:12:35,,Doyle-2500-011 - Machine 2
500161,INCOMPLETE_NO_FINISH_TIME,,0.001332523,,,,Doyle-2500-011 - Machine 2
500162,COMPLETED,,0.001755625,277.8592151,2025-12-31 09:51:16,,Doyle-2500-011 - Machine 2
500163,COMPLETED,,0.00065978,277.8580123,2025-12-31 10:57:34,,Doyle-2500-011 - Machine 2
500164,COMPLETED,,0.002337813,277.8597708,2025-12-31 10:37:10,,Doyle-2500-011 - Machine 2
500165,INCOMPLETE_NO_FINISH_TIME,,0.001523009,,,,Doyle-2500-011 - Machine 2
500166,COMPLETED,,0.004510359,277.8586746,2025-12-31 10:05:58,,Doyle-2500-011 - Machine 2
500167,COMPLETED,,0.002795023,277.8595198,2025-12-31 09:36:14,,Doyle-2500-011 - Machine 2
500168,INCOMPLETE_NO_FINISH_TIME,,0.00099235,,,,Doyle-2500-011 - Machine 2
600179,COMPLETED,,0.000864537,281.3778692,2025-12-30 16:08:33,,Doyle-2500-021 - Machine 4
600180,COMPLETED,,0.000419977,281.6334024,2025-12-30 15:53:19,,Doyle-2500-021 - Machine 4
600181,COMPLETED,,0.001437581,281.5231994,2025-12-30 15:58:28,,Doyle-2500-021 - Machine 4
600182,COMPLETED,0.001500845,0.001169537,281.4523298,2025-12-30 16:03:39,2025-12-30 16:00:38,Doyle-2500-021 - Machine 4
600183,COMPLETED,,0.000408206,281.4532321,2025-12-30 15:09:53,,Doyle-2500-021 - Machine 4
