UPN,N_Y,E_X,Elv_Z,Source
9799,367709.113,2261890.288,907.327,BS_INV-14_T_S01
9800,367735.738,2261890.322,906.767,BS_INV-14_T_S01
9801,367762.33,2261890.15,906.14,BS_INV-14_T_S01
9802,367788.777,2261890.339,905.745,BS_INV-14_T_S01
9803,367815.372,2261890.274,905.365,BS_INV-14_T_S01
9804,367530.601,2261773.241,911.039,BS_INV-14_T_S01
9805,367557.463,2261773.301,910.249,BS_INV-14_T_S01
9806,367579.759,2261773.25,909.529,BS_INV-14_T_S01
9824,367629.464,2261773.224,907.916,BS_INV-14_T_S01
9840,367656.087,2261773.304,907.352,BS_INV-14_T_S01
9841,367682.663,2261773.332,906.731,BS_INV-14_T_S01
9842,367709.15,2261773.328,906.034,BS_INV-14_T_S01
9843,367709.289,2261812.308,906.341,BS_INV-14_T_S01
9844,367735.774,2261812.27,905.855,BS_INV-14_T_S01
9845,367762.39,2261812.296,905.436,BS_INV-14_T_S01
9846,367788.919,2261812.262,904.93,BS_INV-14_T_S01
9847,367815.578,2261812.288,904.417,BS_INV-14_T_S01
9856,367682.421,2261812.324,907.034,BS_INV-14_T_S01
9873,367656.058,2261812.322,907.698,BS_INV-14_T_S01
9874,367579.705,2261812.327,910.442,BS_INV-14_T_S01
9875,367735.62,2261773.278,905.309,BS_INV-14_T_S01
9876,367762.387,2261773.201,904.674,BS_INV-14_T_S01
9877,367789.008,2261773.268,904.033,BS_INV-14_T_S01
9878,367815.263,2261773.399,904.199,BS_INV-14_T_S01
9879,367530.744,2261792.74,911.339,BS_INV-14_T_S01
9880,367557.059,2261792.632,910.572,BS_INV-14_T_S01
9881,367579.627,2261792.806,909.985,BS_INV-14_T_S01
9882,367629.426,2261792.784,908.22,BS_INV-14_T_S01
9883,367656.037,2261792.701,907.491,BS_INV-14_T_S01
9884,367682.595,2261792.811,906.801,BS_INV-14_T_S01
9885,367709.213,2261792.746,906.064,BS_INV-14_T_S01
9886,367735.898,2261792.787,905.46,BS_INV-14_T_S01
9887,367762.42,2261792.798,905.02,BS_INV-14_T_S01
9888,367629.431,2261812.35,908.457,BS_INV-14_T_S01
9889,367788.864,2261792.672,904.572,BS_INV-14_T_S01
9890,367530.778,2261831.783,912.569,BS_INV-14_T_S01
9892,367579.612,2261831.781,910.907,BS_INV-14_T_S01
9893,367629.398,2261831.735,908.754,BS_INV-14_T_S01
9894,367656.008,2261831.734,907.847,BS_INV-14_T_S01
9895,367682.593,2261831.707,907.322,BS_INV-14_T_S01
9896,367709.103,2261831.725,906.665,BS_INV-14_T_S01
9897,367735.713,2261831.791,906.206,BS_INV-14_T_S01
9898,367762.26,2261831.787,905.829,BS_INV-14_T_S01
9899,367789.047,2261831.818,906.317,BS_INV-14_T_S01
9900,367815.51,2261831.832,904.894,BS_INV-14_T_S01
9901,367530.821,2261812.366,911.921,BS_INV-14_T_S01
9902,367557.491,2261812.307,911.27,BS_INV-14_T_S01
9903,367815.397,2261792.786,904.012,BS_INV-14_T_S01
19384,367473.441,2261597.549,911.142,BS_INV-14_T_S01
19385,367499.746,2261597.714,910.139,BS_INV-14_T_S01
19386,367526.515,2261597.754,909.453,BS_INV-14_T_S01
19387,367552.966,2261597.614,909.004,BS_INV-14_T_S01
19388,367579.694,2261597.655,908.521,BS_INV-14_T_S01
19389,367629.508,2261597.728,906.757,BS_INV-14_T_S01
19390,367656.133,2261597.866,906.137,BS_INV-14_T_S01
19391,367682.382,2261597.572,903.679,BS_INV-14_T_S01
19392,367709.076,2261597.662,902.265,BS_INV-14_T_S01
19393,367735.573,2261597.622,901.338,BS_INV-14_T_S01
19394,367762.12,2261597.569,901.124,BS_INV-14_T_S01
19395,367788.88,2261597.667,899.477,BS_INV-14_T_S01
19396,367393.573,2261617.223,913.909,BS_INV-14_T_S01
19397,367446.727,2261597.62,911.872,BS_INV-14_T_S01
19398,367420.131,2261617.231,912.629,BS_INV-14_T_S01
19399,367473.287,2261617.219,911.033,BS_INV-14_T_S01
19401,367526.458,2261617.312,909.588,BS_INV-14_T_S01
19402,367553.181,2261617.209,909.248,BS_INV-14_T_S01
19403,367579.59,2261617.305,908.736,BS_INV-14_T_S01
19404,367629.544,2261617.283,906.924,BS_INV-14_T_S01
19405,367655.996,2261617.196,905.49,BS_INV-14_T_S01
19406,367682.541,2261617.159,904.174,BS_INV-14_T_S01
19407,367709.078,2261617.211,903.114,BS_INV-14_T_S01
19409,367762.138,2261617.185,901.254,BS_INV-14_T_S01
19410,367788.852,2261617.222,900.611,BS_INV-14_T_S01
19412,367446.739,2261617.278,912.22,BS_INV-14_T_S01
19414,367420.179,2261597.713,912.673,BS_INV-14_T_S01
19429,367393.573,2261597.723,913.796,BS_INV-14_T_S01
28766,367629.306,2262007.33,912.999,BS_INV-14_T_S01
28767,367656.245,2262007.331,912.097,BS_INV-14_T_S01
28768,367682.399,2262007.363,911.077,BS_INV-14_T_S01
28769,367709.083,2262007.306,910.256,BS_INV-14_T_S01
28770,367735.5,2262007.42,909.447,BS_INV-14_T_S01
28771,367762.19,2262007.304,908.884,BS_INV-14_T_S01
28772,367788.856,2262007.297,908.491,BS_INV-14_T_S01
28773,367815.509,2262007.322,908.391,BS_INV-14_T_S01
28807,367393.509,2261695.261,912.762,BS_INV-14_T_S01
28808,367420.098,2261695.168,911.783,BS_INV-14_T_S01
28810,367473.301,2261695.237,910.619,BS_INV-14_T_S01
28812,367499.737,2261695.242,910.227,BS_INV-14_T_S01
28813,367553.088,2261695.264,908.908,BS_INV-14_T_S01
28814,367579.582,2261695.243,908.123,BS_INV-14_T_S01
28815,367629.511,2261695.308,906.544,BS_INV-14_T_S01
28816,367655.906,2261695.267,905.897,BS_INV-14_T_S01
28817,367682.659,2261695.271,905.456,BS_INV-14_T_S01
28819,367735.678,2261695.275,903.945,BS_INV-14_T_S01
