540,367210.549,2260895.747,900.304,
541,367237.116,2260895.759,899.301,
542,367263.663,2260895.754,898.491,
543,367290.279,2260895.659,897.931,
544,367316.873,2260895.698,897.477,
545,366841.967,2261012.657,919.678,
546,366868.529,2261012.671,919.505,
547,366895.126,2261012.627,918.975,
548,367183.933,2260895.749,901.560,
549,366921.703,2261012.633,918.326,
550,366974.796,2261012.640,915.853,
551,367001.349,2261012.630,914.630,
552,367027.859,2261012.653,913.038,
553,367054.411,2261012.642,911.663,
554,367104.172,2261012.658,909.122,
555,367130.780,2261012.626,907.823,
556,367157.316,2261012.667,907.048,
557,367183.924,2261012.643,906.246,
558,366948.216,2261012.616,917.240,
559,367157.296,2260895.714,902.374,
560,367130.776,2260895.756,903.307,
561,367104.260,2260895.743,904.563,
562,367054.501,2260876.233,906.531,
563,367104.261,2260876.240,904.025,
564,367130.839,2260876.226,902.639,
565,367157.463,2260876.132,901.700,
566,367183.973,2260876.229,900.667,
567,367210.492,2260876.218,899.598,
568,367237.116,2260876.195,898.535,
569,367263.679,2260876.177,897.534,
570,367290.208,2260876.093,897.070,
571,367316.806,2260876.134,896.465,
572,366842.050,2260895.738,917.849,
573,366868.630,2260895.738,916.759,
574,366895.135,2260895.738,915.401,
575,366921.744,2260895.728,914.188,
576,366948.306,2260895.718,913.082,
577,366974.908,2260895.731,911.600,
578,367001.445,2260895.742,910.271,
579,367027.921,2260895.723,908.621,
580,367054.548,2260895.734,907.128,
581,367210.642,2261012.681,909.115,
582,367027.956,2260876.229,908.115,
583,367237.120,2261012.624,904.573,
626,367263.731,2261012.711,904.191,
628,367001.469,2260876.189,909.604,
629,366948.250,2260876.257,912.508,
672,366974.780,2260876.270,910.917,
689,366842.048,2260876.229,917.906,
690,366868.669,2260876.274,916.647,
691,366895.141,2260876.241,915.032,
692,366921.772,2260876.187,913.696,
5033,367237.034,2260525.199,887.628,
5034,367263.494,2260525.264,885.717,
5035,367290.004,2260525.128,884.062,
5036,367316.488,2260525.100,882.500,
5037,366841.885,2260505.759,904.473,
5038,366868.504,2260505.784,903.484,
5039,366895.081,2260505.806,902.238,
5040,366921.647,2260505.752,901.324,
5041,367210.418,2260525.109,889.800,
5042,366948.216,2260505.779,900.628,
