UPN,N_Y,E_X,Elv_Z,Source,Data_Scanned 
42531,366226.0899,2256836.444,889.512291,BS_INV-28_T_S01,1/28/2026
31197,366203.8929,2256836.475,889.599456,BS_INV-28_T_S01,1/28/2026
31211,366177.3003,2256836.452,889.8399977,BS_INV-28_T_S01,1/28/2026
31198,366155.0714,2256836.455,889.9725697,BS_INV-28_T_S01,1/28/2026
47849,366130.2452,2256836.457,890.1259096,BS_INV-28_T_S01,1/28/2026
31199,366105.2922,2256836.525,890.2385586,BS_INV-28_T_S01,1/28/2026
31200,366078.6585,2256836.443,890.3766192,BS_INV-28_T_S01,1/28/2026
31201,366052.0669,2256836.476,890.4885938,BS_INV-28_T_S01,1/28/2026
31202,366025.4185,2256836.51,890.6604773,BS_INV-28_T_S01,1/28/2026
31203,365998.8386,2256836.475,890.8537425,BS_INV-28_T_S01,1/28/2026
31204,365972.274,2256836.443,891.2670057,BS_INV-28_T_S01,1/28/2026
31205,365945.6684,2256836.474,891.3774757,BS_INV-28_T_S01,1/28/2026
42551,365919.0857,2256836.48,891.1629891,BS_INV-28_T_S01,1/28/2026
42552,365892.5898,2256836.503,890.757299,BS_INV-28_T_S01,1/28/2026
4891,366248.5196,2256816.955,889.589512,BS_INV-28_T_S01,1/28/2026
4892,366226.2468,2256816.982,889.7381614,BS_INV-28_T_S01,1/28/2026
4893,366204.0041,2256816.996,889.8598168,BS_INV-28_T_S01,1/28/2026
4874,366177.3787,2256817.009,889.9786939,BS_INV-28_T_S01,1/28/2026
4873,366155.1266,2256817.015,890.1542764,BS_INV-28_T_S01,1/28/2026
6025,366130.2405,2256816.972,890.4192568,BS_INV-28_T_S01,1/28/2026
4872,366105.2785,2256816.999,890.4208762,BS_INV-28_T_S01,1/28/2026
4861,366078.6629,2256816.989,890.4648669,BS_INV-28_T_S01,1/28/2026
4853,366051.9638,2256816.98,890.5032982,BS_INV-28_T_S01,1/28/2026
4854,366025.4571,2256816.988,890.5557281,BS_INV-28_T_S01,1/28/2026
4855,365998.8835,2256817.02,890.8301315,BS_INV-28_T_S01,1/28/2026
4856,365972.2856,2256817,890.9359976,BS_INV-28_T_S01,1/28/2026
4857,365945.7003,2256816.959,891.1378018,BS_INV-28_T_S01,1/28/2026
4858,365919.0816,2256817.007,891.0602436,BS_INV-28_T_S01,1/28/2026
