UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,,,,,,,,,
1118,367256.784,2256662.42,886.261,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1119,367283.44,2256662.516,885.35,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1120,367150.647,2257325.603,887.19,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1121,367150.566,2256642.995,888.255,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1122,367177.316,2257325.453,887.45,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1123,367230.587,2257325.52,888.153,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1146,367257.153,2257325.473,888.244,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1147,367283.8,2257325.428,888.297,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1148,367310.208,2257325.558,888.358,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1149,367336.838,2257325.431,887.899,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1165,367203.888,2257325.49,887.688,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1167,367123.985,2256642.934,888.652,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1168,367051.956,2256642.968,889.388,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1211,367074.082,2256642.854,889.471,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1229,366980.859,2256642.918,888.553,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1230,367002.927,2256643.029,888.824,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1231,367025.281,2256642.961,889.205,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1528,367177.288,2257423.041,886.76,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1529,367203.5,2257422.928,886.981,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1530,367230.407,2257423.064,887.46,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1531,367257.062,2257423.043,887.822,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1532,367283.608,2257423.089,888.083,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1533,367310.194,2257422.878,888.06,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1534,367336.83,2257422.855,887.794,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1536,367150.722,2257423.075,886.566,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1547,367124.117,2257423.076,886.729,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1548,367074.338,2257423.021,886.55,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1549,367047.673,2257423.005,886.594,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1550,367021.085,2257442.488,886.457,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1551,367047.668,2257442.538,886.578,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
1552,367074.178,2257442.571,886.455,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
