UPN,N_Y,E_X,Elv_Z,Source
29512,366371.031,2261285.752,904.006,BS_INV-13_T_S01
29513,366397.784,2261285.626,904.328,BS_INV-13_T_S01
29514,366424.411,2261285.722,904.577,BS_INV-13_T_S01
29515,366451.133,2261285.695,904.679,BS_INV-13_T_S01
29516,366477.538,2261285.634,904.988,BS_INV-13_T_S01
29517,366504.006,2261285.598,905.604,BS_INV-13_T_S01
29518,366530.794,2261285.694,906.284,BS_INV-13_T_S01
29519,366557.331,2261285.748,906.718,BS_INV-13_T_S01
29520,366607.204,2261285.741,907.235,BS_INV-13_T_S01
29521,366633.77,2261285.761,907.859,BS_INV-13_T_S01
29522,366660.314,2261285.733,908.631,BS_INV-13_T_S01
29523,366686.854,2261285.732,909.312,BS_INV-13_T_S01
29524,366713.4,2261285.721,910.221,BS_INV-13_T_S01
29525,366740.025,2261285.723,911.237,BS_INV-13_T_S01
29529,366793.182,2261305.206,912.932,BS_INV-13_T_S01
29543,366766.581,2261285.739,912.275,BS_INV-13_T_S01
29544,366371.224,2261305.222,903.584,BS_INV-13_T_S01
29545,366424.462,2261305.215,904.394,BS_INV-13_T_S01
29546,366451.002,2261305.184,904.652,BS_INV-13_T_S01
29547,366477.591,2261305.192,904.922,BS_INV-13_T_S01
29548,366504.304,2261305.172,905.393,BS_INV-13_T_S01
29549,366530.77,2261305.161,906.155,BS_INV-13_T_S01
29550,366557.461,2261305.185,906.644,BS_INV-13_T_S01
29551,366607.14,2261305.207,907.039,BS_INV-13_T_S01
29552,366633.756,2261305.206,907.755,BS_INV-13_T_S01
29553,366660.241,2261305.26,908.405,BS_INV-13_T_S01
29554,366686.859,2261305.264,909.124,BS_INV-13_T_S01
29555,366713.454,2261305.226,910.107,BS_INV-13_T_S01
29556,366739.995,2261305.249,910.893,BS_INV-13_T_S01
29557,366766.624,2261305.272,911.879,BS_INV-13_T_S01
29558,366397.854,2261305.222,903.991,BS_INV-13_T_S01
29559,366793.201,2261285.722,913.484,BS_INV-13_T_S01
29577,366398.022,2261246.81,904.507,BS_INV-13_T_S01
29578,366424.255,2261246.734,904.911,BS_INV-13_T_S01
29579,366451.144,2261246.717,904.926,BS_INV-13_T_S01
29580,366477.602,2261246.64,905.252,BS_INV-13_T_S01
29581,366504.012,2261246.765,905.736,BS_INV-13_T_S01
29582,366530.726,2261246.727,906.484,BS_INV-13_T_S01
29583,366557.303,2261246.709,906.909,BS_INV-13_T_S01
29584,366607.216,2261246.713,907.338,BS_INV-13_T_S01
29585,366633.814,2261246.791,908.108,BS_INV-13_T_S01
29586,366660.34,2261246.728,908.932,BS_INV-13_T_S01
29587,366686.852,2261246.722,909.705,BS_INV-13_T_S01
29588,366713.447,2261246.734,910.833,BS_INV-13_T_S01
29589,366740.027,2261246.726,911.873,BS_INV-13_T_S01
29590,366371.267,2261246.816,904.402,BS_INV-13_T_S01
29593,366766.641,2261266.215,912.751,BS_INV-13_T_S01
29607,366793.171,2261266.287,913.951,BS_INV-13_T_S01
29609,366397.833,2261266.261,904.457,BS_INV-13_T_S01
29610,366424.316,2261266.15,904.86,BS_INV-13_T_S01
29611,366450.976,2261266.305,904.953,BS_INV-13_T_S01
29612,366477.64,2261266.203,905.188,BS_INV-13_T_S01
29613,366504.133,2261266.214,905.682,BS_INV-13_T_S01
29614,366530.779,2261266.233,906.381,BS_INV-13_T_S01
29615,366557.329,2261266.253,906.744,BS_INV-13_T_S01
29616,366607.173,2261266.237,907.354,BS_INV-13_T_S01
29617,366633.735,2261266.213,907.957,BS_INV-13_T_S01
29618,366660.305,2261266.235,908.764,BS_INV-13_T_S01
29619,366686.867,2261266.269,909.525,BS_INV-13_T_S01
29620,366713.452,2261266.23,910.484,BS_INV-13_T_S01
29621,366740.138,2261266.23,911.605,BS_INV-13_T_S01
29622,366371.146,2261266.228,904.249,BS_INV-13_T_S01
29623,366766.618,2261246.735,913.151,BS_INV-13_T_S01
29625,366793.194,2261324.773,912.516,BS_INV-13_T_S01
29638,366371.109,2261363.794,903.862,BS_INV-13_T_S01
29639,366397.675,2261363.773,903.732,BS_INV-13_T_S01
29640,366424.357,2261363.786,904.019,BS_INV-13_T_S01
29641,366450.97,2261363.811,904.47,BS_INV-13_T_S01
29642,366477.601,2261363.79,904.619,BS_INV-13_T_S01
29643,366504.235,2261363.82,905.041,BS_INV-13_T_S01
29644,366530.786,2261363.784,905.762,BS_INV-13_T_S01
29645,366557.172,2261363.775,906.302,BS_INV-13_T_S01
29646,366607.032,2261363.74,906.702,BS_INV-13_T_S01
29647,366633.848,2261363.767,907.229,BS_INV-13_T_S01
29648,366660.302,2261363.73,907.86,BS_INV-13_T_S01
29649,366686.881,2261363.75,908.565,BS_INV-13_T_S01
29650,366713.523,2261363.783,909.22,BS_INV-13_T_S01
29651,366740.075,2261363.788,910.088,BS_INV-13_T_S01
29652,366766.728,2261363.755,910.941,BS_INV-13_T_S01
29669,366371.167,2261383.285,904.27,BS_INV-13_T_S01
29670,366793.164,2261363.759,911.775,BS_INV-13_T_S01
29671,366397.848,2261383.273,904.2,BS_INV-13_T_S01
29672,366450.938,2261383.264,904.386,BS_INV-13_T_S01
29673,366477.529,2261383.282,904.655,BS_INV-13_T_S01
29674,366504.084,2261383.268,905.106,BS_INV-13_T_S01
29675,366530.782,2261383.27,905.876,BS_INV-13_T_S01
29676,366557.365,2261383.342,906.338,BS_INV-13_T_S01
29677,366607.261,2261383.257,906.637,BS_INV-13_T_S01
29678,366633.808,2261383.327,907.155,BS_INV-13_T_S01
29679,366660.257,2261383.274,907.773,BS_INV-13_T_S01
29680,366686.888,2261383.325,908.5,BS_INV-13_T_S01
29681,366713.524,2261383.247,909.144,BS_INV-13_T_S01
29682,366740.045,2261383.253,909.902,BS_INV-13_T_S01
