UPN,N_Y,E_X,Elv_Z,Source
635,367366.816,2262260.687,906.063,BS_INV-15_B_S01
636,367393.404,2262260.669,906.011,BS_INV-15_B_S01
637,367419.985,2262260.689,906.306,BS_INV-15_B_S01
639,367446.559,2262260.722,906.781,BS_INV-15_B_S01
640,367499.773,2262260.737,908.037,BS_INV-15_B_S01
641,367526.361,2262260.685,908.154,BS_INV-15_B_S01
642,367552.903,2262260.658,908.087,BS_INV-15_B_S01
643,367579.536,2262260.714,909.558,BS_INV-15_B_S01
644,367629.361,2262260.682,909.165,BS_INV-15_B_S01
645,367655.879,2262260.692,909.775,BS_INV-15_B_S01
646,367682.471,2262260.691,909.706,BS_INV-15_B_S01
647,367709.08,2262260.761,910.283,BS_INV-15_B_S01
648,367473.187,2262260.729,907.249,BS_INV-15_B_S01
671,367735.759,2262260.69,910.346,BS_INV-15_B_S01
673,367762.288,2262260.79,910.763,BS_INV-15_B_S01
674,367815.485,2262260.793,912.623,BS_INV-15_B_S01
697,367842.005,2262260.693,913.219,BS_INV-15_B_S01
716,367788.939,2262260.727,910.952,BS_INV-15_B_S01
9660,367419.983,2262299.694,906.035,BS_INV-15_B_S01
9661,367446.528,2262299.787,906.661,BS_INV-15_B_S01
9662,367473.112,2262299.773,906.981,BS_INV-15_B_S01
9663,367499.675,2262299.695,907.403,BS_INV-15_B_S01
9664,367526.341,2262299.789,908.072,BS_INV-15_B_S01
9665,367552.879,2262299.725,908.102,BS_INV-15_B_S01
9666,367579.422,2262299.808,908.091,BS_INV-15_B_S01
9667,367629.357,2262299.678,909.563,BS_INV-15_B_S01
9668,367655.864,2262299.732,909.469,BS_INV-15_B_S01
9669,367682.491,2262299.743,909.913,BS_INV-15_B_S01
9670,367709.096,2262299.77,910.154,BS_INV-15_B_S01
9671,367735.685,2262299.75,910.379,BS_INV-15_B_S01
9672,367762.266,2262299.734,910.656,BS_INV-15_B_S01
9673,367788.752,2262299.737,911.856,BS_INV-15_B_S01
9674,367815.47,2262299.754,912.673,BS_INV-15_B_S01
9716,367762.276,2262241.21,910.332,BS_INV-15_B_S01
9717,367789.012,2262241.177,911.128,BS_INV-15_B_S01
9718,367815.453,2262241.286,911.301,BS_INV-15_B_S01
9729,367735.672,2262241.162,910.239,BS_INV-15_B_S01
9746,367709.197,2262241.173,910.144,BS_INV-15_B_S01
9747,367655.974,2262241.235,909.521,BS_INV-15_B_S01
9750,367530.825,2262202.163,908.561,BS_INV-15_B_S01
9751,367557.389,2262202.178,908.663,BS_INV-15_B_S01
9752,367579.595,2262202.173,908.757,BS_INV-15_B_S01
9753,367629.612,2262202.128,909.2,BS_INV-15_B_S01
9754,367656.015,2262202.16,908.889,BS_INV-15_B_S01
9755,367682.669,2262202.165,909.628,BS_INV-15_B_S01
9756,367709.23,2262202.164,909.533,BS_INV-15_B_S01
9757,367735.788,2262202.155,909.569,BS_INV-15_B_S01
9758,367762.446,2262202.168,909.185,BS_INV-15_B_S01
9759,367788.987,2262202.145,909.796,BS_INV-15_B_S01
9760,367815.516,2262202.139,909.618,BS_INV-15_B_S01
9761,367682.549,2262241.163,909.68,BS_INV-15_B_S01
9762,367530.719,2262221.697,908.059,BS_INV-15_B_S01
9763,367579.632,2262221.664,908.689,BS_INV-15_B_S01
9764,367629.339,2262221.641,908.977,BS_INV-15_B_S01
9765,367655.88,2262221.736,909.553,BS_INV-15_B_S01
9766,367682.518,2262221.687,909.612,BS_INV-15_B_S01
9767,367709.172,2262221.716,909.457,BS_INV-15_B_S01
9768,367735.694,2262221.696,909.633,BS_INV-15_B_S01
9769,367762.483,2262221.68,909.902,BS_INV-15_B_S01
9770,367789.016,2262221.654,909.976,BS_INV-15_B_S01
9771,367815.559,2262221.71,910.698,BS_INV-15_B_S01
9775,367629.292,2262241.161,909.661,BS_INV-15_B_S01
9776,367557.317,2262221.81,909.178,BS_INV-15_B_S01
20211,367499.841,2262124.161,908.144,BS_INV-15_B_S01
20212,367526.367,2262124.176,908.263,BS_INV-15_B_S01
20213,367553.065,2262124.12,908.652,BS_INV-15_B_S01
20214,367579.66,2262124.14,909.011,BS_INV-15_B_S01
20215,367629.393,2262124.181,908.89,BS_INV-15_B_S01
20216,367655.993,2262124.173,908.712,BS_INV-15_B_S01
20217,367682.621,2262124.136,909.086,BS_INV-15_B_S01
20218,367709.091,2262124.167,908.2,BS_INV-15_B_S01
20219,367735.805,2262124.06,907.363,BS_INV-15_B_S01
20220,367762.294,2262124.157,906.83,BS_INV-15_B_S01
20221,367788.944,2262124.161,906.226,BS_INV-15_B_S01
20222,367815.726,2262124.169,905.772,BS_INV-15_B_S01
20224,367473.269,2262124.146,908.423,BS_INV-15_B_S01
20240,367393.355,2262338.78,903.997,BS_INV-15_B_S01
20241,367446.658,2262124.271,908.725,BS_INV-15_B_S01
20256,367420.042,2262124.169,908.795,BS_INV-15_B_S01
20273,367420.183,2262338.769,905.248,BS_INV-15_B_S01
20274,367473.176,2262338.742,906.149,BS_INV-15_B_S01
20275,367499.913,2262377.745,903.267,BS_INV-15_B_S01
20276,367526.528,2262377.784,903.829,BS_INV-15_B_S01
20277,367553.132,2262377.76,904.46,BS_INV-15_B_S01
20278,367579.665,2262377.795,906.133,BS_INV-15_B_S01
