UPN,N_Y,E_X,Elv_Z,Source
18249,367130.851,2262377.836,892.46,BS_INV-15_B_S01
18250,367157.406,2262377.777,892.514,BS_INV-15_B_S01
18251,367183.974,2262377.829,893.167,BS_INV-15_B_S01
18252,367210.641,2262377.745,895.621,BS_INV-15_B_S01
18253,367263.821,2262397.226,896.291,BS_INV-15_B_S01
18254,367237.141,2262377.736,896.336,BS_INV-15_B_S01
18255,367290.33,2262377.712,897.667,BS_INV-15_B_S01
18256,366894.863,2262358.243,892.509,BS_INV-15_B_S01
18257,366921.405,2262358.221,893.165,BS_INV-15_B_S01
18258,366948.02,2262358.251,892.46,BS_INV-15_B_S01
18259,366974.635,2262358.197,892.786,BS_INV-15_B_S01
18260,367001.163,2262358.201,893.008,BS_INV-15_B_S01
18261,367027.803,2262358.212,893.765,BS_INV-15_B_S01
18262,367054.365,2262358.234,894.079,BS_INV-15_B_S01
18263,367104.262,2262358.231,892.71,BS_INV-15_B_S01
18264,367130.809,2262358.228,892.842,BS_INV-15_B_S01
18265,367157.482,2262358.231,893.033,BS_INV-15_B_S01
18266,367183.951,2262358.255,894.352,BS_INV-15_B_S01
18267,367210.504,2262358.288,896.801,BS_INV-15_B_S01
18268,367263.773,2262377.648,896.797,BS_INV-15_B_S01
18270,367237.186,2262397.294,895.489,BS_INV-15_B_S01
18271,367184.022,2262397.203,893.513,BS_INV-15_B_S01
18275,366894.811,2262416.761,894.185,BS_INV-15_B_S01
18276,366921.462,2262416.787,894.205,BS_INV-15_B_S01
18277,366948.046,2262416.809,893.397,BS_INV-15_B_S01
18278,366974.663,2262416.701,892.784,BS_INV-15_B_S01
18279,367001.24,2262416.687,892.798,BS_INV-15_B_S01
18280,367027.9,2262416.892,892.798,BS_INV-15_B_S01
18281,367054.427,2262416.778,892.011,BS_INV-15_B_S01
18282,367104.251,2262416.786,891.139,BS_INV-15_B_S01
18283,367130.774,2262416.893,890.841,BS_INV-15_B_S01
18284,367157.397,2262416.721,891.98,BS_INV-15_B_S01
18285,367210.547,2262397.264,894.525,BS_INV-15_B_S01
18286,367184.073,2262416.813,893.016,BS_INV-15_B_S01
18287,367237.238,2262416.765,894.814,BS_INV-15_B_S01
18288,367263.832,2262416.678,895.11,BS_INV-15_B_S01
18289,367290.473,2262416.859,895.503,BS_INV-15_B_S01
18290,366894.831,2262397.184,892.595,BS_INV-15_B_S01
18291,366921.438,2262397.213,892.78,BS_INV-15_B_S01
