UPN,N_Y,E_X,Elv_Z,Source
264,368517.863,2262124.145,912.292,BS_INV-15_T_S01
6662,368263.848,2262065.768,907.987,BS_INV-15_T_S01
6663,368286.053,2262065.775,908.049,BS_INV-15_T_S01
6664,368312.675,2262065.786,908.103,BS_INV-15_T_S01
6665,368334.951,2262065.77,908.153,BS_INV-15_T_S01
6666,368384.815,2262065.722,908.605,BS_INV-15_T_S01
6667,368411.359,2262065.828,909.084,BS_INV-15_T_S01
6668,368437.868,2262065.827,909.83,BS_INV-15_T_S01
6669,368464.513,2262065.808,910.592,BS_INV-15_T_S01
6670,368490.943,2262065.703,911.032,BS_INV-15_T_S01
6671,368517.784,2262065.749,911.445,BS_INV-15_T_S01
6672,368544.301,2262065.783,912.014,BS_INV-15_T_S01
6673,368263.87,2262085.24,907.941,BS_INV-15_T_S01
6674,368286.126,2262085.26,908.037,BS_INV-15_T_S01
6675,368544.362,2262046.243,911.543,BS_INV-15_T_S01
6676,368312.672,2262085.299,908.232,BS_INV-15_T_S01
6677,368384.817,2262085.229,908.89,BS_INV-15_T_S01
6678,368411.433,2262085.286,910.31,BS_INV-15_T_S01
6679,368438.104,2262085.103,910.123,BS_INV-15_T_S01
6680,368464.605,2262085.241,910.82,BS_INV-15_T_S01
6681,368491.185,2262085.303,911.256,BS_INV-15_T_S01
6682,368517.778,2262085.279,911.725,BS_INV-15_T_S01
6683,368544.414,2262085.23,912.406,BS_INV-15_T_S01
6684,368264.015,2262104.743,907.94,BS_INV-15_T_S01
6685,368286.202,2262104.704,908.048,BS_INV-15_T_S01
6686,368312.839,2262104.695,908.158,BS_INV-15_T_S01
6687,368335.187,2262104.701,908.373,BS_INV-15_T_S01
6688,368384.889,2262104.71,908.987,BS_INV-15_T_S01
6689,368411.579,2262104.678,909.63,BS_INV-15_T_S01
6690,368334.963,2262085.225,908.37,BS_INV-15_T_S01
6692,368517.823,2262046.233,911.129,BS_INV-15_T_S01
6693,368464.478,2262046.195,910.391,BS_INV-15_T_S01
6704,368263.942,2262026.78,907.82,BS_INV-15_T_S01
6705,368286.164,2262026.687,907.83,BS_INV-15_T_S01
6706,368312.766,2262026.715,907.778,BS_INV-15_T_S01
6707,368491.13,2262046.223,910.904,BS_INV-15_T_S01
6708,368335.017,2262026.715,907.719,BS_INV-15_T_S01
6709,368411.478,2262026.818,908.445,BS_INV-15_T_S01
6710,368437.986,2262026.683,909.271,BS_INV-15_T_S01
6711,368464.633,2262026.725,909.955,BS_INV-15_T_S01
6712,368491.28,2262026.707,910.372,BS_INV-15_T_S01
6713,368517.806,2262026.816,910.583,BS_INV-15_T_S01
6714,368544.392,2262026.756,911.011,BS_INV-15_T_S01
6715,368263.869,2262046.296,907.789,BS_INV-15_T_S01
6716,368286.057,2262046.233,907.911,BS_INV-15_T_S01
6717,368312.737,2262046.194,907.964,BS_INV-15_T_S01
6718,368334.966,2262046.179,907.956,BS_INV-15_T_S01
6719,368384.888,2262046.282,908.309,BS_INV-15_T_S01
6720,368411.565,2262046.336,908.865,BS_INV-15_T_S01
6721,368437.989,2262046.283,909.64,BS_INV-15_T_S01
6722,368384.807,2262026.697,907.977,BS_INV-15_T_S01
6723,368438.086,2262104.67,910.239,BS_INV-15_T_S01
6850,368464.746,2262104.655,910.937,BS_INV-15_T_S01
6851,368491.277,2262104.717,911.479,BS_INV-15_T_S01
6852,368517.875,2262104.712,911.972,BS_INV-15_T_S01
6858,368544.452,2262397.233,922.835,BS_INV-15_T_S01
6884,368438.023,2262338.742,918.974,BS_INV-15_T_S01
6885,368464.624,2262338.723,918.806,BS_INV-15_T_S01
6886,368491.203,2262338.796,919.172,BS_INV-15_T_S01
6887,368517.872,2262338.814,919.582,BS_INV-15_T_S01
6888,368544.426,2262338.79,920.45,BS_INV-15_T_S01
6889,368264.049,2262358.285,916.878,BS_INV-15_T_S01
