UPN,N_Y,E_X,Elv_Z,Source
19321,367393.714,2261519.714,915.149,BS_INV-13_T_S01
19322,367420.303,2261519.71,913.788,BS_INV-13_T_S01
19323,367446.686,2261519.689,912.646,BS_INV-13_T_S01
19324,367473.43,2261519.635,911.741,BS_INV-13_T_S01
19325,367499.748,2261519.72,910.322,BS_INV-13_T_S01
19326,367526.46,2261519.718,908.92,BS_INV-13_T_S01
19327,367553.002,2261519.681,907.572,BS_INV-13_T_S01
19329,367629.324,2261519.663,905.109,BS_INV-13_T_S01
19330,367655.81,2261519.596,904.096,BS_INV-13_T_S01
19332,367708.943,2261519.677,900.597,BS_INV-13_T_S01
19333,367735.541,2261519.741,899.502,BS_INV-13_T_S01
19334,367762.3,2261519.687,898.64,BS_INV-13_T_S01
19335,367788.786,2261519.676,897.228,BS_INV-13_T_S01
19336,367393.513,2261539.211,914.524,BS_INV-13_T_S01
19337,367420.255,2261539.306,913.288,BS_INV-13_T_S01
19338,367446.77,2261539.294,912.303,BS_INV-13_T_S01
19339,367473.25,2261539.253,911.438,BS_INV-13_T_S01
19340,367499.853,2261539.227,910.191,BS_INV-13_T_S01
19341,367526.355,2261539.24,908.797,BS_INV-13_T_S01
19342,367552.967,2261539.309,907.704,BS_INV-13_T_S01
19343,367579.565,2261539.24,906.914,BS_INV-13_T_S01
19344,367629.397,2261539.251,906.237,BS_INV-13_T_S01
19345,367655.881,2261539.286,904.07,BS_INV-13_T_S01
19346,367682.526,2261539.259,902.502,BS_INV-13_T_S01
19347,367708.941,2261539.292,900.86,BS_INV-13_T_S01
19348,367788.76,2261500.473,896.726,BS_INV-13_T_S01
19349,367762.118,2261500.199,897.574,BS_INV-13_T_S01
19350,367735.655,2261500.25,898.642,BS_INV-13_T_S01
19351,367709.059,2261500.204,900.112,BS_INV-13_T_S01
19352,367762.152,2261422.255,896.375,BS_INV-13_T_S01
19353,367788.828,2261422.186,895.41,BS_INV-13_T_S01
19354,367393.727,2261480.695,916.662,BS_INV-13_T_S01
19355,367420.305,2261480.777,914.617,BS_INV-13_T_S01
19356,367446.93,2261480.73,913.05,BS_INV-13_T_S01
19357,367473.569,2261480.719,912.516,BS_INV-13_T_S01
19358,367499.951,2261480.723,910.251,BS_INV-13_T_S01
19359,367526.528,2261480.825,909.441,BS_INV-13_T_S01
19360,367553.068,2261480.81,906.891,BS_INV-13_T_S01
