UPN,N_Y,E_X,Elv_Z,Source
91,367210.627,2261441.792,921.657,BS_INV-13_T_S01
92,367237.158,2261441.737,921.181,BS_INV-13_T_S01
93,367263.609,2261441.823,920.646,BS_INV-13_T_S01
99,367184.055,2261441.778,921.772,BS_INV-13_T_S01
110,367157.486,2261441.749,921.55,BS_INV-13_T_S01
111,367130.887,2261441.786,921.213,BS_INV-13_T_S01
112,367104.283,2261441.789,921.122,BS_INV-13_T_S01
113,367054.433,2261422.254,920.276,BS_INV-13_T_S01
114,367104.243,2261422.308,921.148,BS_INV-13_T_S01
115,367130.92,2261422.315,921.16,BS_INV-13_T_S01
116,367157.379,2261422.295,921.416,BS_INV-13_T_S01
117,367184.023,2261422.296,921.58,BS_INV-13_T_S01
118,367210.604,2261422.284,921.477,BS_INV-13_T_S01
119,367237.057,2261422.217,921.024,BS_INV-13_T_S01
120,367263.74,2261422.248,920.385,BS_INV-13_T_S01
123,366841.835,2261441.75,912.458,BS_INV-13_T_S01
124,366868.392,2261441.727,913.765,BS_INV-13_T_S01
125,366894.972,2261441.734,915.022,BS_INV-13_T_S01
126,366921.49,2261441.8,916.588,BS_INV-13_T_S01
127,366948.026,2261441.738,917.804,BS_INV-13_T_S01
128,366974.704,2261441.784,918.804,BS_INV-13_T_S01
129,367001.268,2261441.793,919.424,BS_INV-13_T_S01
130,367027.885,2261441.762,919.948,BS_INV-13_T_S01
131,367054.477,2261441.777,920.375,BS_INV-13_T_S01
268,367027.822,2261422.287,919.787,BS_INV-13_T_S01
359,367001.256,2261422.279,919.35,BS_INV-13_T_S01
360,366948.12,2261422.286,917.702,BS_INV-13_T_S01
585,366948.005,2261324.74,918.113,BS_INV-13_T_S01
586,366974.725,2261324.765,918.498,BS_INV-13_T_S01
587,367001.257,2261324.712,919.166,BS_INV-13_T_S01
588,367027.906,2261324.827,919.675,BS_INV-13_T_S01
589,367054.403,2261324.762,920.201,BS_INV-13_T_S01
590,367104.335,2261324.838,921.083,BS_INV-13_T_S01
591,367130.885,2261324.779,921.189,BS_INV-13_T_S01
592,367157.408,2261324.78,921.334,BS_INV-13_T_S01
593,366921.556,2261324.778,917.669,BS_INV-13_T_S01
594,367183.778,2261324.813,921.57,BS_INV-13_T_S01
595,367237.477,2261324.694,921.666,BS_INV-13_T_S01
596,367263.918,2261324.819,921.084,BS_INV-13_T_S01
599,366841.854,2261422.241,912.452,BS_INV-13_T_S01
600,366868.411,2261422.272,913.662,BS_INV-13_T_S01
601,366894.983,2261422.255,914.937,BS_INV-13_T_S01
602,366921.519,2261422.21,916.512,BS_INV-13_T_S01
603,367210.529,2261324.75,921.757,BS_INV-13_T_S01
604,366894.933,2261324.774,917.022,BS_INV-13_T_S01
605,366868.329,2261324.753,916.243,BS_INV-13_T_S01
606,366841.823,2261324.784,915.08,BS_INV-13_T_S01
608,366841.569,2261305.172,915.819,BS_INV-13_T_S01
609,366868.23,2261305.252,916.978,BS_INV-13_T_S01
610,366894.879,2261305.404,917.777,BS_INV-13_T_S01
611,366921.533,2261305.293,918.395,BS_INV-13_T_S01
612,366948.057,2261305.258,918.761,BS_INV-13_T_S01
613,366974.688,2261305.253,918.958,BS_INV-13_T_S01
614,367001.253,2261305.317,919.357,BS_INV-13_T_S01
615,367027.849,2261305.236,919.93,BS_INV-13_T_S01
616,367054.44,2261305.313,920.262,BS_INV-13_T_S01
617,367104.219,2261305.266,921.16,BS_INV-13_T_S01
618,367130.837,2261305.276,921.068,BS_INV-13_T_S01
619,367157.435,2261305.216,920.994,BS_INV-13_T_S01
620,367184.058,2261305.275,920.969,BS_INV-13_T_S01
621,367210.592,2261305.28,920.93,BS_INV-13_T_S01
622,367237.285,2261305.25,920.894,BS_INV-13_T_S01
623,367263.796,2261305.266,920.593,BS_INV-13_T_S01
627,366974.683,2261422.319,918.677,BS_INV-13_T_S01
8443,366921.646,2261383.333,916.12,BS_INV-13_T_S01
8444,366895.008,2261383.294,915.128,BS_INV-13_T_S01
8445,366868.421,2261383.327,914.428,BS_INV-13_T_S01
8456,366948.145,2261383.28,917.333,BS_INV-13_T_S01
8473,366974.684,2261383.341,918.288,BS_INV-13_T_S01
8474,367027.825,2261383.292,919.661,BS_INV-13_T_S01
8477,367153.135,2261344.268,921.505,BS_INV-13_T_S01
8478,367126.536,2261344.275,921.186,BS_INV-13_T_S01
8479,367104.236,2261344.29,921.241,BS_INV-13_T_S01
8480,367054.405,2261344.261,920.239,BS_INV-13_T_S01
8481,367027.809,2261344.224,919.648,BS_INV-13_T_S01
8482,367001.244,2261344.192,918.964,BS_INV-13_T_S01
8483,366974.696,2261344.229,918.195,BS_INV-13_T_S01
8484,366948.071,2261344.222,917.669,BS_INV-13_T_S01
8485,366921.501,2261344.257,916.785,BS_INV-13_T_S01
8486,366894.936,2261344.214,916.112,BS_INV-13_T_S01
8487,366868.231,2261344.17,915.461,BS_INV-13_T_S01
8488,367001.25,2261383.312,919.045,BS_INV-13_T_S01
8489,367153.094,2261363.702,921.625,BS_INV-13_T_S01
8490,367104.174,2261363.737,921.392,BS_INV-13_T_S01
8491,367054.464,2261363.761,920.266,BS_INV-13_T_S01
8492,367027.775,2261363.762,919.671,BS_INV-13_T_S01
8493,367001.219,2261363.73,918.969,BS_INV-13_T_S01
