UPN,N_Y,E_X,Elv_Z,Source
20294,367579.566,2262319.275,913.293,BS_INV-15_T_S01
20295,367629.363,2262319.223,914.321,BS_INV-15_T_S01
20296,367655.919,2262319.242,914.27,BS_INV-15_T_S01
20297,367682.479,2262319.238,914.948,BS_INV-15_T_S01
20298,367709.19,2262319.223,915.328,BS_INV-15_T_S01
20299,367735.744,2262319.24,915.621,BS_INV-15_T_S01
20300,367762.481,2262319.272,916.529,BS_INV-15_T_S01
20302,367815.56,2262319.277,917.664,BS_INV-15_T_S01
20303,367446.684,2262319.234,911.079,BS_INV-15_T_S01
20304,367446.798,2262338.798,910.699,BS_INV-15_T_S01
20306,367393.681,2262377.885,911.654,BS_INV-15_T_S01
20307,367499.754,2262338.676,911.686,BS_INV-15_T_S01
20308,367526.378,2262338.699,911.54,BS_INV-15_T_S01
20309,367553.074,2262338.715,912.804,BS_INV-15_T_S01
20310,367579.384,2262338.649,917.326,BS_INV-15_T_S01
20311,367629.307,2262338.641,913.624,BS_INV-15_T_S01
20312,367656.064,2262338.759,917.496,BS_INV-15_T_S01
20313,367682.531,2262338.754,914.477,BS_INV-15_T_S01
20314,367709.179,2262338.83,914.853,BS_INV-15_T_S01
20315,367735.679,2262338.718,915.462,BS_INV-15_T_S01
20316,367762.282,2262338.814,916.035,BS_INV-15_T_S01
20317,367788.955,2262338.771,916.746,BS_INV-15_T_S01
20318,367815.554,2262338.802,917.578,BS_INV-15_T_S01
20319,367393.055,2262358.153,915.096,BS_INV-15_T_S01
20320,367420.118,2262377.85,908.595,BS_INV-15_T_S01
20321,367420.367,2262358.341,915.744,BS_INV-15_T_S01
20322,367473.257,2262358.313,910.145,BS_INV-15_T_S01
20323,367499.88,2262358.277,915.352,BS_INV-15_T_S01
20324,367526.414,2262358.282,912.47,BS_INV-15_T_S01
20325,367552.865,2262358.056,917.771,BS_INV-15_T_S01
20326,367579.588,2262358.266,912.073,BS_INV-15_T_S01
20327,367629.358,2262358.35,914.354,BS_INV-15_T_S01
20328,367656.023,2262358.349,917.76,BS_INV-15_T_S01
20329,367682.635,2262358.243,919.74,BS_INV-15_T_S01
20330,367709.156,2262358.266,917.422,BS_INV-15_T_S01
20331,367735.666,2262358.388,915.023,BS_INV-15_T_S01
20332,367762.373,2262358.367,915.544,BS_INV-15_T_S01
20333,367788.872,2262358.195,916.279,BS_INV-15_T_S01
20334,367815.442,2262358.274,917.022,BS_INV-15_T_S01
20335,367446.613,2262358.29,916.289,BS_INV-15_T_S01
28870,367393.493,2262104.738,915.662,BS_INV-15_T_S01
28871,367420.177,2262104.695,915.302,BS_INV-15_T_S01
28872,367446.652,2262104.727,914.946,BS_INV-15_T_S01
28873,367473.356,2262104.689,914.653,BS_INV-15_T_S01
28874,367499.848,2262104.687,914.387,BS_INV-15_T_S01
28876,367526.712,2262104.64,916.523,BS_INV-15_T_S01
28877,367579.667,2262104.745,914.076,BS_INV-15_T_S01
28878,367629.475,2262104.698,914.166,BS_INV-15_T_S01
28879,367655.947,2262104.715,914.164,BS_INV-15_T_S01
28880,367682.667,2262104.652,913.841,BS_INV-15_T_S01
28881,367709.298,2262104.75,913.668,BS_INV-15_T_S01
28882,367735.843,2262104.611,912.453,BS_INV-15_T_S01
28883,367762.326,2262104.681,911.719,BS_INV-15_T_S01
28884,367788.929,2262104.591,911.21,BS_INV-15_T_S01
28885,367815.57,2262104.661,910.981,BS_INV-15_T_S01
