UPN,Design Northing,Design Easting,Design Elevation
500025,367377.604,2262196.166,908.5164
500026,367377.604,2262205.083,908.5164
500027,367377.604,2262210.333,908.5164
500028,367377.604,2262215.583,908.5164
500029,367377.604,2262223.083,908.5164
500030,367373.989,2262196.166,908.5164
500031,367373.989,2262205.083,908.5164
500032,367373.989,2262210.333,908.5164
500033,367373.989,2262215.583,908.5164
500034,367373.989,2262223.083,908.5164
500035,367373.989,2262229.083,908.5164
500036,367377.604,2262229.083,908.5164
400043,367603.329,2262024.272,912.897930099999
400044,367603.522,2262399.772,910.745058
400045,368358.979,2262399.772,921.5337206
400046,368358.979,2262024.272,906.740520599999
400047,368100.709,2262399.772,916.722373538663
400048,368100.709,2262024.272,907.6751
400049,367606.985,2262240.272,912.95
400050,367469.042,2262240.272,911.9692
400051,367466.742,2262181.772,912.8296
400052,368362.524,2262183.772,908.4252
400053,367466.742,2262183.772,912.7535
400054,368104.209,2262181.772,907.02
400176,367080.379,2262419.272,896.2161876
400177,367080.379,2262043.772,913.4493
400178,367331.95,2262240.272,910.9948
400179,367076.834,2262240.272,903.0873672
600040,367473.692,2262180.834,915.4404
600041,367467.942,2262180.834,915.368
600042,367479.442,2262180.834,915.5203
600043,367473.692,2262184.71,915.2934
600044,367467.942,2262184.71,915.2547
600045,367479.442,2262184.71,915.3887
600046,367470.242,2262239.334,914.4865
600047,367479.442,2262239.334,914.6421
600048,367474.842,2262239.334,914.603
600171,367323.85,2262239.334,913.4258
600172,367328.45,2262239.334,913.4009
600173,367330.75,2262241.209,913.4414
600174,367323.85,2262241.209,913.4345
800005,367428.604,2262229.083,909.5951
