UPN,Design Northing,Design Easting,Design Elevation
500157,366379.703,2263385.666,911.621
500158,366379.703,2263399.833,911.621
500159,366379.703,2263405.083,911.621
500160,366379.703,2263412.583,911.621
500161,366379.703,2263418.583,911.621
500162,366383.318,2263418.583,911.621
500163,366383.318,2263412.583,911.621
500164,366383.318,2263405.083,911.621
500165,366383.318,2263399.833,911.621
500166,366383.318,2263394.583,911.621
500167,366383.318,2263385.666,911.621
500168,366379.703,2263394.583,911.621
400184,366609.236,2262784.772,902.770231931171
400185,366086.093,2263842.772,908.400487415956
400186,366086.093,2263428.272,906.676550665812
400187,366609.236,2263725.772,915.697826705283
400190,366612.78,2263371.272,923.367
400191,366612.78,2263373.272,923.367
400192,366337.665,2263429.772,911.3282
400193,366082.548,2263429.772,905.759884065812
600179,366469.056,2263370.335,923.1555
600180,366485.156,2263370.335,923.996
600181,366479.776,2263370.335,923.6116
600182,366474.416,2263370.335,923.3755
600183,366479.776,2263374.21,923.3978
600184,366474.416,2263374.21,923.1822
600185,366485.156,2263374.21,923.7533
600186,366469.056,2263374.21,922.8483
600187,366336.465,2263428.834,915.0904
600188,366329.565,2263428.834,914.6654
600189,366336.465,2263430.709,915.0533
600190,366329.565,2263430.709,914.599
