UPN,Design Northing,Design Easting,Design Elevation
500013,367373.989,2261786.666,910.5245
500014,367373.989,2261795.583,910.5245
500015,367373.989,2261800.833,910.5245
500016,367373.989,2261806.083,910.5245
500017,367373.989,2261813.583,910.5245
500018,367373.989,2261819.583,910.5245
500019,367377.604,2261819.583,910.5245
500020,367377.604,2261813.583,910.5245
400031,367603.521,2262009.772,912.7743874
400032,367603.521,2261595.272,906.9560066
400033,368358.979,2262009.772,906.4109379
400034,368358.979,2261809.772,908.726151845925
400035,368100.665,2262009.772,907.8383
400036,368100.665,2261653.772,901.673927299999
400037,367607.066,2261832.772,908.029
400038,367471.342,2261832.772,913.5361
400039,368104.209,2261811.272,903.876358699999
400040,367466.742,2261811.272,912.6718
400041,368362.524,2261813.272,907.809551845925
400042,367466.742,2261813.272,912.7615
400172,367080.379,2262029.272,914.1036
400173,367080.379,2261595.272,918.903384999999
400174,367331.95,2261811.272,914.9146
400175,367076.834,2261811.272,915.43
600032,367473.692,2261810.334,915.1242
600033,367467.942,2261810.334,915.1747
600034,367479.442,2261810.334,914.9891
600035,367473.692,2261814.21,915.2149
600036,367467.942,2261814.21,915.2996
600037,367479.442,2261814.21,915.095
600038,367472.542,2261833.71,916.0938
600039,367479.442,2261833.71,915.9078
600167,367330.75,2261810.334,917.3824
600168,367323.85,2261810.334,917.4223
600169,367330.75,2261812.209,917.3979
600170,367323.85,2261812.209,917.4284
