UPN,Design Northing,Design Easting,Design Elevation
500205,365854.56,2261182.166,896.8643
500206,365854.56,2261191.083,896.8643
500207,365854.56,2261196.333,896.8643
500208,365854.56,2261201.583,896.8643
500209,365854.56,2261209.083,896.8643
500210,365858.175,2261215.083,896.8643
500211,365858.175,2261209.083,896.8643
500212,365858.175,2261201.583,896.8643
500213,365858.175,2261196.333,896.8643
500214,365858.175,2261191.083,896.8643
500215,365858.175,2261182.166,896.8643
500216,365854.56,2261215.083,896.8643
