UPN,Design Northing,Design Easting,Design Elevation
600445,368651.551,2269598.662,831.2592
600447,368651.551,2269600.537,831.3119
600448,368506.68,2269635.662,831.0753
600449,368501.319,2269635.662,831.1342
600454,368502.86,2269639.538,831.0636
700007,369030.691,2269995.004,827.7307
600440,368649.251,2269579.162,831.1632
600441,368651.551,2269579.162,831.2519
600442,368649.251,2269581.037,831.1984
600443,368651.551,2269581.037,831.2249
600444,368646.951,2269598.662,831.2562
600446,368649.251,2269600.537,831.3261
600450,368512.059,2269635.662,831.1936
600451,368495.959,2269635.662,831.1122
600452,368509.759,2269639.538,831.1015
600453,368495.959,2269639.538,831.0968
