UPN,Design Northing,Design Easting,Design Elevation
500169,365854.56,2259349.166,889.8993
500170,365854.56,2259358.083,889.8993
500171,365854.56,2259363.333,889.8993
500172,365854.56,2259368.583,889.8993
500173,365854.56,2259376.083,889.8993
500174,365854.56,2259382.083,889.8993
500175,365858.175,2259382.083,889.8993
500176,365858.175,2259376.083,889.8993
500177,365858.175,2259368.583,889.8993
500178,365858.175,2259363.333,889.8993
500179,365858.175,2259358.083,889.8993
500180,365858.175,2259349.166,889.8993
700004,366399.949,2259038.097,894.3532
