UPN,Design Northing,Design Easting,Design Elevation
500193,365858.175,2260669.083,894.903
500194,365858.175,2260663.083,894.903
500195,365858.175,2260655.583,894.903
500196,365858.175,2260650.333,894.903
500197,365858.175,2260645.083,894.903
500198,365858.175,2260636.166,894.903
500199,365854.56,2260669.083,894.903
500200,365854.56,2260663.083,894.903
500201,365854.56,2260655.583,894.903
500202,365854.56,2260650.333,894.903
500203,365854.56,2260636.166,894.903
500204,365854.56,2260645.083,894.903
