UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
600263,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,
600264,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,
600265,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,
600266,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,
600267,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,
600268,0.0,0.0,0.0,BS_INV-23_S02.csv,BS_INV-23_T_S02,1/7/2026,,,,,,,,,,
400067,367100.043,2256640.495,888.526,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
400069,367503.88,2257581.548,888.229,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
400070,367503.904,2256737.969,883.718,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
400076,367373.96,2257344.028,886.162,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
400078,367374.01,2257363.521,886.2,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
500052,367329.716,2257370.737,891.172,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
500054,367329.682,2257357.102,891.522,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
500056,367326.098,2257363.3,890.907,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
500057,367326.145,2257370.572,891.418,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
500058,367326.157,2257375.888,891.993,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
500059,367326.118,2257381.145,891.898,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
500060,367326.127,2257389.986,891.248,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,
400234,365947.381,2261169.724,899.744,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
400236,365947.291,2261167.668,899.736,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
400238,365810.194,2261226.264,897.179,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
400240,365810.166,2261206.724,896.884,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600231,365959.545,2261166.721,903.488,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600232,365948.618,2261166.794,903.169,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
600233,365954.284,2261166.857,903.331,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,
