OBJECTID,Inverter,Row,Table_,UPN,Drive Time (Min),Drive Time (Sec),As-Built Northing,Design Northing,Top of Pile in Northing Tolerance?,As Built Easting,Design Easting,Top of Pile in Easting Tolerance?,As Built Top Elevation,Design Elevation,Pile Length (ft),As-Built Reveal (ft),Design Min Reveal (ft),Design Max Reveal (ft),Reveal in Spec (Y/N),As-Built Embedment,Design Min Embedment (ft),Min Embedment Met (Y/N),Pile Twist (Degrees),Twist in Tolerance (Y/N),East Degree Lean (West Negative),North Degree Lean (South Negative),Remediation Complete (Y/N/NA),Remediation Type,Top of Pile Delta Northing (in),Top of Pile Location Delta Easting (in),Pile Height (Deg),GlobalID,CreationDate,Creator,EditDate,Editor,Letter,Color,Damper,Pile Type,Table_Ready_for_Racking,Symbology,Tracker Slope (Deg),Cumulative Tracker Slope,Pile Installed?,Elevation in Tolerance?,East Degree Lean in Spec?,North Degree Lean in Spec?,Remediation Approved,Pull Test Passed?,Is Pull Test Needed?,Remediation Performed,Random Pull Test,Cumulative Tracker Slope in Spec?,Date Installed,Date of Pull Test,Date of Random Pull Test,Date Remediation Completed,Date Remediation Approved,Display,Drive Finished At,Drive Machine,Hammering Status,Hammering Flag,Design Bottom of Pile,Remediation_Reccomendation,Symbology_S02,Unique Frame Number,Number of Helicas In Frame,Helical Oreintation,Helical Pile Position,Frame Design Northing,Frame Design Easting,Frame Design Elevation,Helical or W Section,Helical Clocking,Pile Size,Pile_Shape,x,y
48025,23,0,0,600263,,,,365811.322,No,,2262319.209,No,,905.0761,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389735.864,27147830.508,,09d2e0e2-57f0-428a-9300-35a38060d037,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9016584757679,42.9983802747759
48026,23,0,0,600264,,,,365804.422,No,,2262319.209,No,,904.7931,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4389653.064,27147830.508,,87a297bb-858d-45dd-98ff-b0d318646ba9,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/29/2025 6:00:00 AM,,,,,,,,,,,,,,,,,,,,Wsection,,,,-88.9016588153311,42.9983613445304
48027,23,0,0,600265,,,,366085.074,No,,2262340.472,No,,888.86,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4393020.888,27148085.664,,1d039a5b-387b-416f-b7f4-b2e9fdfa6e09,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/16/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9015655207973,42.9991305557404
48028,23,0,0,600266,,,,366083.2,No,,2262340.472,No,,888.8423,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4392998.4,27148085.664,,2ae7cd0b-b49c-4101-92cd-b5b1a06d9116,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/16/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9015656133237,42.9991254147503
48029,23,0,0,600267,,,,366085.074,No,,2262347.372,No,,888.9922,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4393020.888,27148168.464,,62520c08-eb6f-4cd4-ba71-e70aa2b30bac,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/16/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9015397301655,42.9991303067391
48030,23,0,0,600268,,,,366083.2,No,,2262347.372,No,,889.0793,17.0,,5.0,7.0,,,10.0,,,Yes,,,,,4392998.4,27148168.464,,6f8602e3-eca3-4204-9129-d8f8cdaf4614,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,LBD PILE,,1.0,,,Yes,,,,,,,,,Yes,12/16/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9015398226919,42.999125165092
48056,24,0,0,700005,,,,365733.978,No,,2263857.079,No,,899.756,10.75,,2.0,2.75,,,8.0,,,Yes,,,,,4388807.736,27166284.948,,07b74003-f8e9-472c-89a0-b90c93fe4b6c,12/16/2025 5:07:58 PM,HNemerov_westwood,2/6/2026 7:15:03 AM,sauron.sanchez,,,,Weather Station,,1.0,,,Yes,,,,,,,,,Yes,12/30/2025 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.8959141438864,42.9981123566944
48067,25,0,0,400076,,,,367374.037,No,,2257343.964,No,,885.879858,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4408488.444,27088127.568,,dc2e3493-4192-4d6c-af90-1c520fee108b,12/16/2025 5:07:58 PM,HNemerov_westwood,1/14/2026 9:07:38 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9201790806082,43.0028459349713
48069,25,0,0,400078,,,,367374.037,No,,2257363.464,No,,885.856136,15.0,,3.25,5.45,,,8.5,,,Yes,,,,,4408488.444,27088361.568,,6e99e97c-9391-4712-8484-5d0a97a9f142,12/16/2025 5:07:58 PM,HNemerov_westwood,1/14/2026 9:07:38 PM,sauron.sanchez,,,,CAB Dead-End Pile N-S,,1.0,,,Yes,,,,,,,,,Yes,1/6/2026 6:00:00 AM,,,,,Installation,,,,,,,,,,,,,,,Wsection,,,,-88.9201061895094,43.0028452418829
47162,25,0,0,500052,,,,367329.698,,,2257370.653,,,884.3632,27.5,,1.0,3.5,,,24.0,,,Yes,,,,,4407956.376,27088447.836,,9949501c-4188-40db-8d7e-4502f4bc9bdd,12/16/2025 4:14:51 PM,HNemerov_westwood,1/14/2026 9:07:38 PM,sauron.sanchez,,,,INVERTER PILE,,0.0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.9200814633812,43.0027233403315
